Itr,train-PolicyExecTime,LossBefore,Time-Sampling,train-EnvExecTime,n_timesteps,train-NumTrajs,train-MaxReturn,train-MinReturn,train-AverageDiscountedReturn,Time-Optimization,train-AverageReturn,Time-SampleProc,Time,ItrTime,LossAfter,train-StdReturn
187,47.539281368255615,4.577637e-09,52.68646311759949,4.622603893280029,1880000,100,252.80520097658507,90.9647529562761,385.27234970356903,2.4209628105163574,201.19784731448567,0.07888984680175781,6726.9898381233215,55.18809390068054,-0.013301041,24.903476640933228
188,29.335313320159912,-0.0014203392,34.16821217536926,4.332290410995483,1890000,100,250.9685099531307,-102.1099251936224,385.22615557911695,2.185859203338623,201.12449446697542,0.05708885192871094,6763.448157072067,36.41433501243591,-0.014723663,36.27379064774833
189,37.94387650489807,-1.2207031e-08,42.899855852127075,4.4456095695495605,1900000,100,238.64623644827168,112.26977585228941,379.254625149802,2.209214925765991,197.2241677315152,0.049330949783325195,6808.632652997971,45.16010117530823,-0.017166195,24.78388213857305
190,29.44664216041565,9.155274e-09,34.249024868011475,4.285942077636719,1910000,100,243.00211132915067,151.68427026626782,382.2260333030305,2.788450002670288,198.65659631418876,0.050637006759643555,6845.758073091507,37.10293459892273,-0.0020703948,21.435982165705674
191,50.317338943481445,-2.746582e-08,55.34357690811157,4.507776260375977,1920000,100,239.27538887706064,120.7036190608365,383.90720927411826,1.972851037979126,199.14834354008633,0.06663084030151367,6903.170084953308,57.38449192047119,-0.012148701,22.74859689890778
192,28.626444339752197,-3.2043456e-08,33.397239208221436,4.275007724761963,1930000,100,247.28699501866754,149.78345472120807,390.4835317784543,2.03792405128479,203.45819332524388,0.04878687858581543,6938.675827026367,35.48438906669617,-0.0110443905,18.99417653231412
193,25.13494849205017,3.0517577e-09,29.641147136688232,4.028488636016846,1940000,100,240.61438225096038,115.45029484586541,387.40199292775384,1.9254100322723389,201.1292988221517,0.04700922966003418,6970.312767982483,31.61398410797119,-0.008729965,22.60773843194852
194,32.82094073295593,-3.051758e-08,37.541815996170044,4.211054086685181,1950000,100,242.05749779214207,-31.653324307554104,386.6380388263218,2.018529176712036,201.7932980484438,0.06885790824890137,7009.966565847397,39.62979602813721,-0.013687299,30.790052531267833
195,26.213273525238037,6.1035155e-09,30.73452115058899,4.04291033744812,1960000,100,244.88969312099613,60.64776181374425,390.11451464554176,2.3132529258728027,203.72351588999413,0.05083799362182617,7043.088135004044,33.09917593002319,-0.013160522,25.593218256001325
196,30.780065536499023,9.155274e-09,35.90250897407532,4.626108407974243,1970000,100,251.4278666935011,82.65190354955618,392.72348166012966,2.1012117862701416,204.9655578298287,0.09547996520996094,7081.221732139587,38.09989666938782,-0.019902606,23.349281916520546
197,24.66318917274475,-5.493164e-08,29.181692361831665,4.060525417327881,1980000,100,242.99036637855806,61.83489863087909,390.23080312249795,2.580103874206543,203.38725215679548,0.10086297988891602,7113.110399007797,31.864109992980957,-0.008971039,22.510875119334745
198,24.07979989051819,-6.1035155e-09,28.440614938735962,3.8922367095947266,1990000,100,246.87650513499943,-40.73620201264267,389.1398205009156,1.8764679431915283,204.36704503559832,0.0501399040222168,7143.514740943909,30.368545055389404,-0.012980301,33.38143568855886
199,23.82132649421692,3.051758e-08,28.148923873901367,3.8712356090545654,2000000,100,238.86922183754444,148.70563558780285,396.7613751301365,2.069417953491211,208.15322738429978,0.0895087718963623,7173.850948095322,30.30943012237549,-0.009358581,17.505757883852706
200,23.860167264938354,-1.8310548e-08,28.477996110916138,4.141922473907471,2010000,100,253.9421883680715,137.80432432637517,397.8426454048253,2.3695790767669678,208.78211104752287,0.05961322784423828,7204.7809591293335,30.908536195755005,-0.009065955,17.788454553848364
201,22.612117052078247,1.2207031e-08,26.966917753219604,3.888730764389038,2020000,100,250.39455145214112,124.1038194726807,398.3444475413919,2.7292017936706543,209.32751003827693,0.11866903305053711,7234.61793422699,29.815661907196045,-0.01281004,20.2478062624679
202,22.486722230911255,-8.010864e-09,26.836840867996216,3.8887088298797607,2030000,100,240.00737483447173,-38.91316932679436,380.4621919630143,2.91511607170105,199.03412106898352,0.051666975021362305,7264.443689107895,29.80424404144287,-0.022739742,38.415499635006164
203,23.000756978988647,-8.392334e-09,27.34946084022522,3.892695426940918,2040000,100,244.913705469026,57.04525029601318,389.54690290566015,2.6374528408050537,203.58626637632966,0.06683182716369629,7294.517335176468,30.055103063583374,-0.007083992,25.65578534144941
204,22.85305404663086,-2.6702882e-08,27.221132040023804,3.8838045597076416,2050000,100,248.17633537325213,99.20664460097187,391.09475851719486,2.3349850177764893,204.7337852694873,0.08648085594177246,7324.185585975647,29.64426898956299,-0.021186573,23.302750876558274
205,23.32565712928772,4.577637e-09,27.68097424507141,3.8739800453186035,2060000,100,254.12849553923508,43.31321535602735,391.2139452492192,2.332921266555786,204.76641295161514,0.04902982711791992,7354.26856303215,30.06348490715027,-0.013179186,26.8194362988942
206,23.37977147102356,6.1035155e-09,27.777440071105957,3.927549362182617,2070000,100,251.94318358755524,8.709389658433869,391.376910573577,2.3093550205230713,205.35356640886087,0.04566192626953125,7384.424887180328,30.132862329483032,-0.010683404,30.188245762999244
207,23.490155696868896,-6.1035155e-09,27.966918230056763,3.994691848754883,2080000,100,242.95305225274512,70.4453583109668,383.2351744396546,1.9467380046844482,199.27326379176705,0.07842469215393066,7414.439112901688,29.992511987686157,-0.0075005614,23.01035377347794
208,22.116544485092163,-3.0517577e-09,26.39360499382019,3.826221466064453,2090000,100,244.8627835358163,143.1431612240471,384.01707608227537,3.263158082962036,200.5933127978868,0.06703710556030273,7444.185500860214,29.724225997924805,-0.011078099,22.199688366780137
209,25.383400440216064,-1.525879e-08,30.0903480052948,4.189765453338623,2100000,100,237.19159793012886,129.74463643424482,384.3782075226477,2.8608813285827637,200.60992599989333,0.06043696403503418,7477.217264890671,33.01214790344238,-0.010235303,19.291678649487796
210,27.0634663105011,-1.2969971e-08,31.658542156219482,4.049325704574585,2110000,100,254.80919631241727,87.08213237172065,380.2026237564545,2.07427716255188,198.2865596404372,0.0873560905456543,7511.067312955856,33.821908950805664,-0.01123138,27.142534299481195
211,23.00685715675354,-1.2207031e-08,27.32947587966919,3.8726694583892822,2120000,100,255.09637939893602,160.2030519582261,398.9371047516109,1.8966567516326904,209.640155539738,0.04937911033630371,7540.384598970413,29.278589248657227,-0.012272099,17.098248032923024
212,22.84105110168457,-2.1362304e-08,27.081509828567505,3.81341290473938,2130000,100,252.77924122564852,35.93248221316905,397.35151425610565,1.6776411533355713,209.12758697148726,0.07730603218078613,7569.244841098785,28.836819887161255,-0.0067146467,25.7347080940982
213,21.985759973526,-3.0517577e-09,25.976115942001343,3.560734272003174,2140000,100,243.69075372180373,104.92837846203123,397.60829938819336,1.8159780502319336,209.2506930755009,0.0477602481842041,7597.110267877579,27.843739986419678,-0.008344946,21.73077888506321
214,23.311673164367676,-1.9836426e-08,27.422853708267212,3.681448459625244,2150000,100,255.46922602186848,118.17525586041687,400.0277683266451,1.6561212539672852,209.7468535396971,0.046495914459228516,7626.260545015335,29.12695598602295,-0.020886004,17.606165487357213
215,21.904773473739624,-1.2207031e-08,25.91813325881958,3.589886426925659,2160000,100,246.29585300480142,74.13962143628446,398.54177052274906,1.7249901294708252,208.28048082391118,0.0460200309753418,7653.972719192505,27.690603733062744,-0.01247439,22.095747260269484
216,21.657236337661743,-6.1035155e-09,25.6349937915802,3.550926923751831,2170000,100,245.65416737587176,144.60802566826487,394.1759838820697,1.6097867488861084,206.99938945406652,0.17664217948913574,7681.418528079987,27.42281198501587,-0.015459436,19.06429430961475
217,21.50007462501526,0.00011386719,25.476720094680786,3.561727285385132,2180000,100,250.82047558558847,126.45571826547172,398.80611120496377,1.7189319133758545,209.79289086666574,0.04577898979187012,7708.683701038361,27.241947174072266,-0.008567853,20.247983722452904
218,21.426107168197632,-1.6784668e-08,25.390193223953247,3.5307602882385254,2190000,100,251.41345352345576,46.944445147432,392.6299516141778,1.7063021659851074,205.80126874261515,0.04906201362609863,7735.851724147797,27.14596700668335,-0.012752713,24.964632905412486
219,22.012999534606934,4.8828124e-08,26.0576388835907,3.6204540729522705,2200000,100,244.8442788977503,117.63142505712773,395.5785841005716,1.7599239349365234,207.68188959692634,0.06319189071655273,7763.755107164383,27.882144927978516,-0.009724399,20.885339645743286
220,23.007766723632812,2.4414062e-08,27.043535947799683,3.613616466522217,2210000,100,251.51891007099033,-46.11065848900498,390.46119220043494,1.7526969909667969,204.6261821217765,0.047721147537231445,7792.6213800907135,28.84470772743225,-0.016869238,34.072110736862534
