n_timesteps,train-AverageReturn,train-NumTrajs,Time-Sampling,Time,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,Time-SampleProc,LossAfter,train-EnvExecTime,LossBefore,Time-Optimization,Itr,ItrTime,train-PolicyExecTime,train-MaxReturn
240000,-6.918552176679767,100,15.473517656326294,393.4971239566803,25.579032046327285,-11.234317959668463,-77.50143126848879,0.11155438423156738,0.035157442,2.8845107555389404,0.061855134,0.56317138671875,23,16.148470640182495,12.274044752120972,53.522977639861466
250000,-7.01229626698318,100,15.217632055282593,409.3600742816925,27.3587472327287,-11.195001058914336,-77.8203056626792,0.10934662818908691,0.038490724,2.8226418495178223,0.065872386,0.5153729915618896,24,15.842586994171143,12.095938444137573,50.94391902427373
260000,-0.7969024739817844,100,15.85376238822937,425.8308844566345,25.342700505484984,2.2117524269096793,-61.06209217252698,0.11492466926574707,0.04413449,2.813300371170044,0.06834612,0.48276782035827637,25,16.451668977737427,12.743729829788208,48.41210260976902
270000,-1.3487339032014969,100,15.197291612625122,441.65760612487793,27.53524355529453,1.150294483239913,-73.39943079335262,0.07488846778869629,0.037567466,2.880934238433838,0.062965274,0.5237066745758057,26,15.796129941940308,12.048486232757568,71.447762069326
280000,-1.4297007400014567,100,12.046808958053589,454.68499875068665,27.695871371025888,-1.5593217517990337,-93.12140546867484,0.12346029281616211,0.040824633,2.5715718269348145,0.06654605,0.8369593620300293,27,13.007483959197998,9.227810144424438,72.97011365447393
290000,-3.4905110845004406,100,17.610920190811157,472.9306719303131,23.792185300863995,-5.721302209215871,-62.43515381929621,0.10790252685546875,0.029467484,2.9800186157226562,0.05550739,0.4725329875946045,28,18.19864773750305,14.337892055511475,57.19219968493549
300000,-6.499834830896242,100,17.96691632270813,491.6169488430023,27.095728328730605,-9.453293943882956,-93.14770140106774,0.14257335662841797,0.024667224,2.874361991882324,0.0571828,0.5514204502105713,29,18.663795948028564,14.805546998977661,69.52054304284461
310000,-2.46239761729364,100,13.132244110107422,505.53555727005005,29.200577362997514,-1.0242011445504533,-78.82717399509845,0.15261578559875488,0.04135395,2.7781925201416016,0.065770164,0.6068336963653564,30,13.893312931060791,10.097384691238403,98.95666334781633
320000,1.0519939010646118,100,14.618667602539062,520.7999484539032,29.55447025492812,3.845952741952147,-77.19222940957717,0.10317873954772949,0.02623425,2.648528814315796,0.05712815,0.5105454921722412,31,15.233105182647705,11.697504997253418,73.68975100196658
330000,5.015737457859643,100,15.135339975357056,536.6109914779663,25.037542610616487,13.855918505022032,-60.06166682159108,0.11155486106872559,0.035873137,2.733877658843994,0.06317562,0.5293428897857666,32,15.776483058929443,12.132646560668945,55.8592925198084
340000,1.0519328993299846,100,14.914135932922363,552.3203344345093,34.12992826147856,7.879165207366818,-84.3857103335577,0.18853497505187988,0.034069937,2.80527663230896,0.06390414,0.5637354850769043,33,15.689806699752808,11.843247652053833,74.5361797672214
350000,-0.2913212209621303,100,15.598917722702026,568.6414518356323,30.345443643928487,4.714486926508508,-80.71947837756896,0.18725943565368652,0.026269745,2.9497108459472656,0.05846956,0.5082716941833496,34,16.295313358306885,12.356596946716309,75.05886327418928
360000,0.3796102857865516,100,15.354520320892334,584.6784882545471,34.34215571243665,5.6647196039222205,-96.26745602186406,0.13748526573181152,0.029091861,2.9605274200439453,0.059272863,0.5133020877838135,35,16.00555396080017,12.074694633483887,90.86931975303924
370000,4.922104957336273,100,16.59495496749878,601.971494436264,36.38353124069619,12.303745957812886,-87.52817107133775,0.1282336711883545,0.03496328,2.827615976333618,0.06147143,0.5465619564056396,36,17.269981861114502,13.47831106185913,82.97952611178911
