train-MinReturn,n_timesteps,train-AverageReturn,LossAfter,Time-Optimization,Time-Sampling,train-EnvExecTime,train-MaxReturn,LossBefore,train-PolicyExecTime,train-AverageDiscountedReturn,train-NumTrajs,Time,train-StdReturn,ItrTime,Itr,Time-SampleProc
-143.68271698778875,530000,-140.46124538408958,-1.0645871,3.580501079559326,182.73641300201416,4.6629533767700195,-135.57893798984531,0.0049435403,177.65526390075684,-309.88867617545117,100,10004.124755859375,1.5578121628431434,186.3454818725586,52,0.028248071670532227
-143.8788515783739,540000,-140.53332058853923,-1.0026356,3.342540979385376,178.31392192840576,4.667208909988403,-136.67765121429164,0.015325296,173.23943972587585,-310.03351414196754,100,10185.836009979248,1.6186262257488946,181.6790690422058,53,0.01936173439025879
-142.89825700707257,550000,-140.34968573845018,-0.9829293,2.8963918685913086,177.11965680122375,4.748950242996216,-137.10022260551992,-0.013755614,171.96262335777283,-309.6921570208784,100,10365.893759965897,1.3874320616113556,180.0351209640503,54,0.017627716064453125
-143.1356845526446,560000,-140.43782442202127,-0.9247381,3.689068078994751,169.05421590805054,4.645886182785034,-135.55767604670342,0.008082526,163.98876190185547,-309.8667756833318,100,10538.681272029877,1.4991173770325046,172.76634311676025,55,0.020146846771240234
-143.06155778502134,570000,-140.3942521713144,-0.8735248,2.828386068344116,162.96876001358032,4.572679281234741,-137.58632083632781,-0.00022455139,157.97835850715637,-309.8076452400278,100,10704.520812034607,1.3571563588911801,165.8184940814972,56,0.02001023292541504
-143.66902578431328,580000,-140.17590869521652,-0.86642814,3.6122429370880127,157.31549191474915,4.571147203445435,-137.03293152062145,-0.003945794,152.32190203666687,-309.31964554646197,100,10865.49963593483,1.5032911231882065,160.95774388313293,57,0.01959085464477539
-143.2970618605549,590000,-140.46573584854144,-0.89653593,3.2797040939331055,162.52353477478027,4.675147533416748,-137.43134959329785,-0.007998839,157.44160890579224,-309.8900510376961,100,11031.347028970718,1.5086760064983693,165.82600283622742,58,0.020064115524291992
-143.19449318465487,600000,-140.27668196884625,-0.8372119,2.984084129333496,167.63953924179077,4.522000312805176,-136.495745134145,0.006341144,162.71633386611938,-309.53020730350204,100,11202.013216972351,1.4675649323126267,170.64486598968506,59,0.020658254623413086
-143.58091979240186,610000,-140.40196710426417,-0.8926791,2.9366140365600586,169.99553394317627,4.568309545516968,-136.35217948330427,-0.010027574,165.0158884525299,-309.78466311014745,100,11374.987474918365,1.4597379343663248,172.95405077934265,60,0.020457983016967773
-143.39339128339367,620000,-140.448337981275,-0.90951145,3.0843300819396973,175.44119501113892,4.720570087432861,-137.43360181737097,-0.0093920585,170.2999711036682,-309.88185953077647,100,11553.614223957062,1.3046286275190757,178.54615807533264,61,0.019334793090820312
-143.18899997152892,630000,-140.36088348792134,-0.83007014,3.672697067260742,181.02114009857178,4.546354055404663,-137.51014748693035,0.019149313,176.07568621635437,-309.7484632926764,100,11738.35078382492,1.4269939835658754,184.7145118713379,62,0.020279884338378906
-143.43041174224467,640000,-140.5068906363475,-0.8789428,3.1800708770751953,188.73335313796997,4.606261491775513,-137.14887519529933,-0.0050596404,183.72610807418823,-309.9726331169541,100,11930.479000091553,1.4670971303855407,192.1017200946808,63,0.18764376640319824
