train-AverageDiscountedReturn,train-MinReturn,LossAfter,Time-SampleProc,Time-Sampling,train-EnvExecTime,train-MaxReturn,train-PolicyExecTime,train-NumTrajs,Time,train-AverageReturn,n_timesteps,Time-Optimization,LossBefore,ItrTime,Itr,train-StdReturn
83.31091338147597,-1.8886201699900182,-0.11050132,0.04732084274291992,179.5926730632782,5.324092388153076,113.86266397132886,173.75182008743286,100,11356.61324596405,50.28945644552325,570000,4.980499982833862,-0.0016873779,184.62127113342285,56,24.449369812550668
100.01971159121686,4.5282131270502255,-0.07541711,0.04103279113769531,277.03694009780884,6.351293325424194,113.6992067162295,269.5771760940552,100,11638.842648983002,58.29709573861766,580000,5.119112968444824,0.010051117,282.19869470596313,57,23.623223841358445
110.46757896578289,-0.2550530199719476,-0.10071838,0.04606366157531738,241.72665691375732,6.286789178848267,116.8700645636808,234.86498355865479,100,11886.06442284584,63.61886343207039,590000,5.414891004562378,0.004241388,247.1898250579834,58,22.920453592170933
127.37861437989379,15.07893423370006,-0.10163181,0.2243211269378662,239.9307279586792,6.240952730178833,99.27756358218065,233.18608450889587,100,12133.579617738724,71.88222435462775,600000,7.319374084472656,-0.017218426,247.47587084770203,59,16.91521422674436
134.4666338216341,43.91636035540775,-0.052515563,0.24819493293762207,269.58151626586914,6.64224648475647,96.96436770071846,262.3690288066864,100,12414.450093984604,75.02038562170061,610000,11.01029086112976,0.0043524657,280.8413097858429,60,13.149630596835413
134.79265363720094,34.998365231521866,-0.04096962,0.0878291130065918,328.36676001548767,7.188035011291504,105.70659272889002,320.436541557312,100,12748.292788982391,75.41995794093498,620000,5.185599088668823,0.022208666,333.6423189640045,61,14.891300408955914
127.97074762281528,20.951859566695028,-0.081665024,0.025498151779174805,188.6866738796234,5.210873126983643,101.23075979332644,183.02315211296082,100,12940.770588874817,72.00091754070573,630000,3.7409820556640625,-0.02255857,192.4538791179657,62,15.48587584538747
125.40533913264356,14.720873800765053,-0.022637134,0.05849814414978027,206.8431212902069,6.025564193725586,108.20964966860102,200.27168345451355,100,13152.279280900955,70.68823282101204,640000,4.572643995285034,0.009437458,211.4830400943756,63,17.696020176749
107.61423740110078,12.894644350839828,-0.015093268,0.14695191383361816,202.16500401496887,5.662216424942017,98.00455609944181,196.00843024253845,100,13361.67909693718,61.94520580677109,650000,7.055984973907471,0.016950622,209.37110781669617,64,19.008592602783274
104.29382777317049,-2.4018144695199086,-0.017627161,0.09249281883239746,209.99109601974487,4.9836554527282715,96.39930272985751,204.4977617263794,100,13576.074101924896,60.31310258891333,660000,4.271132946014404,0.006367932,214.36543488502502,65,19.952981543729408
108.9838722976729,9.246709814206326,-0.01572422,0.0265352725982666,189.7770540714264,4.803220272064209,104.81565729874615,184.52584433555603,100,13769.43734407425,62.499121701589026,670000,3.5338973999023438,0.0037088927,193.3386309146881,66,19.374795911491766
103.41651962724113,14.658273091691834,-0.020014899,0.021319866180419922,158.85424089431763,4.805624008178711,108.38963778721458,153.57909727096558,100,13931.46090888977,59.90777844099423,680000,3.117810010910034,-0.0053381226,161.995130777359,67,19.275459737710253
105.98697844013004,-3.730070758332798,0.0015630615,0.020811080932617188,164.7481288909912,4.833977937698364,98.46192975620235,159.50597286224365,100,14099.684561014175,61.05529876915912,690000,3.431062936782837,0.012647949,168.20272207260132,68,21.185313291265658
103.80093967694314,10.30625044661331,-0.018410718,0.04113364219665527,176.92375922203064,4.860630512237549,99.13808812487007,171.62821698188782,100,14280.075949907303,60.0053533872918,700000,3.402462959289551,-0.0067130006,180.37070679664612,69,20.526883837591008
97.87637015651079,12.332810363836666,0.0028821502,0.02061605453491211,154.40655612945557,4.663710832595825,112.15695074552518,149.347754240036,100,14437.56776189804,57.299514756094524,710000,3.039391279220581,0.014497534,157.46695494651794,70,22.5408185400847
101.17634511845716,12.946240150481675,-0.022188827,0.019670724868774414,156.9026072025299,4.721725702285767,100.855525615575,151.77200174331665,100,14597.797456979752,58.581705301942364,720000,3.2849678993225098,-0.0030624238,160.20862412452698,71,19.587704439763918
85.82307016506407,11.306101785137297,0.0013646485,0.023572921752929688,144.2036428451538,4.637666463851929,99.43277173788803,139.14174222946167,100,14748.470624923706,51.18881079005798,730000,6.425933122634888,0.019913232,150.65378785133362,72,21.113341458211
103.25559112837396,13.568542766745459,0.014797423,0.02229785919189453,145.97818088531494,4.753270387649536,111.8164320164255,140.76891589164734,100,14897.895776033401,59.80198062178166,740000,3.4025380611419678,0.03024456,149.4045648574829,73,21.138070061011987
96.22615184692579,11.13718136018807,0.0011399597,0.01865696907043457,144.07428812980652,4.68536901473999,117.0488103800456,138.99063348770142,100,15047.621323823929,56.402142729932855,750000,5.604191780090332,0.016707147,149.6977198123932,74,22.484430993054954
88.72812044364906,3.9515689698077594,-0.0049403473,0.022778034210205078,145.77579307556152,4.64723801612854,101.30694816767594,140.68269324302673,100,15196.755461931229,52.67616465691563,760000,3.307544708251953,0.014676379,149.10808205604553,75,21.489393354548284
96.21538075737317,12.697286092758235,-0.042867016,0.022691965103149414,142.6064441204071,4.866757869720459,115.22911939489126,137.20328068733215,100,15344.128677845001,56.380582020997664,770000,4.71895694732666,-0.028820703,147.35027408599854,76,22.156529224049567
95.68964269458516,11.447673081604481,0.002772412,0.020683765411376953,134.59350609779358,4.774751901626587,110.41550307032544,129.41643619537354,100,15483.03762793541,56.19725652929596,780000,4.211589097976685,0.021283483,138.82885098457336,77,21.68397566322189
97.50216714621195,6.744931175708486,-0.031797826,0.02512526512145996,132.0716052055359,4.917852163314819,118.89909862120874,126.74474716186523,100,15618.198730945587,56.97934874822207,790000,3.0407302379608154,0.00037386475,135.1405918598175,78,26.3251273519712
108.13070012731069,10.451743620781187,-0.04043816,0.021004915237426758,144.84566187858582,4.669358730316162,117.45853090745355,139.77435493469238,100,15766.044085025787,62.34409182745257,800000,2.954991102218628,-0.001329126,147.8237226009369,79,23.622716618343258
119.30537241612208,-2.2585149289096034,-0.07813292,0.020206928253173828,140.11720514297485,4.743643283843994,107.00242637788976,134.9539077281952,100,15909.573585033417,67.73321986040234,810000,3.3686561584472656,0.003967914,143.50775027275085,80,25.301255744681388
122.04401131555241,15.92180458860879,-0.09035128,0.02347707748413086,140.477068901062,4.707234621047974,114.82222393261961,135.36513018608093,100,16053.407097816467,69.28845113535914,820000,3.3049862384796143,-0.015146789,143.80727100372314,81,20.656520662285622
133.6780848219627,7.618519343904817,-0.06423102,0.020308256149291992,138.85948491096497,4.931384086608887,114.9596894173684,133.50960636138916,100,16195.827913045883,74.87752590601899,830000,3.5183329582214355,0.0035266022,142.3996720314026,82,19.009817175456803
133.51591174454475,19.187225791350816,-0.09303506,0.0210568904876709,147.99089097976685,4.685328483581543,121.29614286170633,142.9152615070343,100,16346.840306043625,74.59761953994591,840000,2.975572109222412,-0.013760889,150.98890805244446,83,17.887822116912407
141.483843970297,44.63609624588566,-0.105635606,0.01722431182861328,153.13254404067993,4.6697869300842285,119.88147904585065,148.05964040756226,100,16503.25455904007,78.19660035759745,850000,3.240609645843506,0.007625641,156.39165377616882,84,12.543998960554655
143.21017513461047,30.17658753168084,-0.15574156,0.0365140438079834,161.92846488952637,4.783306360244751,115.22736155394276,156.62416887283325,100,16668.35338997841,79.13095829818253,860000,3.111560821533203,-0.008000809,165.07790994644165,85,11.251084245625298
143.70660055615141,56.78295697090418,-0.1571252,0.019337892532348633,159.7336871623993,4.753506422042847,102.14277898829812,154.55999374389648,100,16831.332211971283,79.10643926727957,870000,3.1931118965148926,-0.003980246,162.9475700855255,86,10.178975384172563
138.932396455564,57.829954543212544,-0.158281,0.020427703857421875,156.7870180606842,4.602388143539429,116.60910294990309,151.77417850494385,100,16991.818701982498,76.7934554557885,880000,3.6501729488372803,0.015259348,160.45975995063782,87,10.7820777467624
138.71868133182767,56.64413896576057,-0.20997253,0.01856708526611328,156.9476399421692,4.6154303550720215,98.80633017387505,151.94118332862854,100,17152.43598794937,76.56196115392214,890000,3.6140618324279785,0.008466574,160.5815932750702,88,9.64774493282844
132.95617984752482,50.65740259976938,-0.19076186,0.055834054946899414,154.7841420173645,4.6482532024383545,109.34311746604575,149.73447966575623,100,17310.830786943436,73.76784997849218,900000,3.5325279235839844,-0.0088915955,158.37289714813232,89,11.641484786972063
136.55364220494624,45.56560660315701,-0.21782637,0.018114089965820312,158.0928921699524,4.699572563171387,102.45163410975478,152.9938943386078,100,17473.044385910034,75.46151584429846,910000,4.080036163330078,0.016585315,162.19436693191528,90,11.47710662613585
135.3225639026039,56.23915117850593,-0.29277068,0.02362799644470215,155.25521326065063,4.792374134063721,115.23116450017348,150.0632610321045,100,17633.00084090233,74.8984058259301,920000,4.656449794769287,-0.026532892,159.935711145401,91,11.97429125518737
136.25135753236466,55.861838864504705,-0.3406996,0.021384000778198242,157.76228713989258,4.7238075733184814,101.74544348269302,152.64504718780518,100,17794.419423103333,75.25005252824658,930000,3.615122079849243,-0.0008901123,161.40030002593994,92,10.207972335422332
135.91611937253202,46.22645510825208,-0.43542328,0.0190579891204834,151.2622447013855,4.686831474304199,111.60253563332779,146.14157223701477,100,17949.209876060486,74.94294113204234,940000,3.4842331409454346,-0.012136395,154.76691198349,93,11.178966132767384
