n_timesteps,train-MaxReturn,Itr,train-StdReturn,Time,ItrTime,train-EnvExecTime,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,train-NumTrajs,LossAfter,Time-SampleProc,train-AverageReturn,LossBefore,train-PolicyExecTime,train-MinReturn
820000,-59.56025462170228,81,1.255661624949584,4580.089370012283,27.543883085250854,4.271478176116943,-106.46586544136318,1.5843589305877686,25.940021991729736,100,-0.039059978,0.019098997116088867,-62.443136765676556,-0.0069312546,21.215298652648926,-65.30335455179694
830000,-59.997709732714775,82,1.138708172319878,4607.792589187622,27.6826229095459,4.282317876815796,-106.36253780783716,1.577239751815796,26.08542490005493,100,-0.009855492,0.01957225799560547,-62.35154846566534,0.007763308,21.358062744140625,-65.01406944729908
840000,-60.152866506839445,83,1.3490388760453784,4635.00079703331,27.186575174331665,4.236354351043701,-106.5018973137403,1.6757829189300537,25.48994278907776,100,0.0077149062,0.019482135772705078,-62.477446593774054,0.016122382,20.806880712509155,-65.67042116092595
850000,-59.3680785795596,84,1.1592773612711549,4662.476540088654,27.45385193824768,4.274148941040039,-106.36306115449794,1.7726349830627441,25.66054081916809,100,-0.021788092,0.019266128540039062,-62.35481430066104,-0.018323664,20.908926010131836,-66.060691057019
860000,-60.29706715453584,85,1.1958904965669728,4690.519189119339,28.00997018814087,4.285851955413818,-106.5454000244421,1.7136402130126953,26.275427103042603,100,0.012368043,0.01958298683166504,-62.52208765394392,0.017429505,21.527256965637207,-65.794045041448
870000,-59.82233665311705,86,1.2012175595972079,4717.40653014183,26.865676164627075,4.272999048233032,-106.44747672456246,1.6690559387207031,25.176106214523315,100,0.012706808,0.020073890686035156,-62.43400344624267,0.016944475,20.458483457565308,-65.47380892898018
880000,-60.32882121360676,87,1.157622392828777,4746.81091594696,29.38319993019104,4.320258140563965,-106.6266534441365,2.032304048538208,27.32988977432251,100,-0.021851163,0.019579172134399414,-62.59612570675907,-0.011597956,22.559059381484985,-65.49796390840307
890000,-60.09053931851684,88,1.197701398905136,4775.567723035812,28.735955238342285,4.273219108581543,-106.67946953593554,1.7935171127319336,26.913564920425415,100,-0.032852557,0.028423786163330078,-62.64982953542871,-0.025729867,22.18659520149231,-65.52940713425293
900000,-59.47771479812293,89,1.2828741851372343,4802.591808080673,27.002907276153564,4.235452890396118,-106.50422413261512,1.7757141590118408,25.2019259929657,100,-0.0014053299,0.024845123291015625,-62.48552792494187,0.0067976196,20.510229110717773,-65.5748372567466
910000,-60.10743212053557,90,1.2066522229430485,4829.891361236572,27.278826236724854,4.230054140090942,-106.53566064654132,1.5783700942993164,25.680988788604736,100,-0.00980788,0.01910686492919922,-62.51448210118259,0.0046160673,21.000017166137695,-65.24632890286614
920000,-59.26445498352654,91,1.3664722150694417,4857.701626062393,27.78924584388733,4.276755094528198,-106.85134918497434,1.6878440380096436,26.080610990524292,100,-0.05225903,0.020295143127441406,-62.80776542988371,-0.025089554,21.334028482437134,-66.10971476794658
930000,-59.644860566803985,92,1.1084864633380596,4884.800150156021,27.07749605178833,4.274573087692261,-106.63181596443017,1.9943411350250244,25.063305139541626,100,-0.0716752,0.019487380981445312,-62.60605038094355,-0.031461652,20.333857774734497,-65.15602266487926
