Itr,n_timesteps,Time-SampleProc,Time-Sampling,train-MaxReturn,train-EnvExecTime,train-AverageDiscountedReturn,train-MinReturn,train-NumTrajs,train-StdReturn,Time-Optimization,LossAfter,Time,train-AverageReturn,train-PolicyExecTime,ItrTime,LossBefore
175,1760000,0.07084918022155762,8.092263460159302,34.944835043646265,3.2537624835968018,-158.52444348203753,-95.83809583474542,100,34.77723529233672,0.4836091995239258,-0.03867525,1508.1345653533936,-63.9169403334449,4.587510824203491,8.648878335952759,2.2888184e-08
176,1770000,0.06801366806030273,8.083295822143555,44.61862558839019,3.2141149044036865,-135.47353763576834,-96.71179565160752,100,43.85383647646633,0.360537052154541,-0.019406958,1516.6658420562744,-53.92842025057654,4.631482362747192,8.512108087539673,-2.4414062e-08
177,1780000,0.045322418212890625,8.261777639389038,38.01701617938327,3.3200221061706543,-104.56054243529375,-95.34764260656723,100,42.46581457530416,0.40036678314208984,-0.012382629,1525.3914120197296,-39.74852887921713,4.6956562995910645,8.70774221420288,1.8310548e-08
178,1790000,0.05908203125,8.040302276611328,50.650086866566824,3.26617169380188,-82.84692359049757,-91.46241160601974,100,44.21123029175716,0.36590123176574707,-0.008521668,1533.8797969818115,-30.95994729329389,4.535231590270996,8.465538740158081,-3.051758e-08
179,1800000,0.12384724617004395,8.210829973220825,42.93386537328974,3.2972142696380615,-93.29668930592052,-92.33575135812728,100,42.62787519238127,0.34679222106933594,-0.025356296,1542.5825595855713,-35.20289155058893,4.66817307472229,8.68172836303711,3.6621095e-08
180,1810000,0.07213497161865234,8.238489627838135,38.21227605942142,3.3237504959106445,-98.10037359236276,-100.83323744051874,100,39.72997169353386,0.34681129455566406,-0.02642349,1551.2572574615479,-37.02424673398622,4.670454978942871,8.657717943191528,4.2724608e-08
181,1820000,0.12317252159118652,8.171345472335815,44.21913393606383,3.27482533454895,-68.13523419633749,-105.45508708273893,100,42.005277190996736,0.3360013961791992,-0.067446545,1559.9051041603088,-25.257282969987642,4.653936386108398,8.630894660949707,-3.8146974e-09
182,1830000,0.09847784042358398,8.239702224731445,46.64864760691089,3.3379690647125244,-91.91546726145361,-101.86655874950827,100,46.08979369329416,0.3809826374053955,-0.0033579553,1568.6431019306183,-35.00224463835362,4.658290147781372,8.719384908676147,-4.577637e-09
183,1840000,0.06526589393615723,8.165889501571655,42.60872525851719,3.2826294898986816,-69.56214051747804,-103.49797569432734,100,47.26219867087611,0.3203749656677246,-0.021290708,1577.2126309871674,-25.71765045701445,4.637698650360107,8.551799774169922,-1.2207031e-08
184,1850000,0.07847905158996582,8.208996772766113,31.378966754495313,3.285341739654541,-63.49286174301342,-105.16831793568542,100,44.431447325197055,0.36597323417663574,-0.017048122,1585.881224155426,-23.012820996534998,4.665280342102051,8.653702020645142,-3.6621095e-08
185,1860000,0.03747081756591797,8.366637945175171,34.14493175433224,3.331901788711548,-69.14118552504236,-100.98301441513485,100,45.852776621792295,0.39000868797302246,-0.019251578,1594.691959142685,-25.232467149061527,4.7913806438446045,8.794360637664795,1.525879e-08
186,1870000,0.044666290283203125,8.177951097488403,33.64415873587763,3.259596824645996,-73.27391168276593,-104.15687517299762,100,48.586695949561474,0.2662825584411621,-0.04926698,1603.1995270252228,-27.165848643410587,4.677983999252319,8.489116668701172,4.577637e-09
187,1880000,0.04181528091430664,8.334591627120972,34.47730794575837,3.3070056438446045,-62.90222047477484,-99.80241590809325,100,47.3200586897594,0.27231550216674805,-0.10895508,1611.8654766082764,-22.686543925721665,4.780097723007202,8.648990392684937,1.525879e-08
188,1890000,0.03942751884460449,8.392076253890991,36.872421214567474,3.305119037628174,-28.35355120947102,-100.79576282592954,100,41.53712569039283,0.2591865062713623,-0.043936156,1620.5739419460297,-8.377017659127706,4.841185808181763,8.690948486328125,-6.1035155e-09
189,1900000,0.03408670425415039,8.39120888710022,25.69866488463048,3.3294379711151123,-65.15853405068728,-101.65379590755397,100,44.121491585184536,0.2676701545715332,-0.00028793488,1629.2837255001068,-24.077712875462318,4.811039924621582,8.69318151473999,1.0681152e-08
190,1910000,0.06427526473999023,8.168909549713135,27.367997824566814,3.268589735031128,-54.24536590792974,-101.11329866358587,100,45.09172869474839,0.24461674690246582,-0.026570223,1637.7807867527008,-19.484897929949405,4.65827751159668,8.47801399230957,-6.713867e-08
191,1920000,0.07804560661315918,8.357284784317017,31.43931361777087,3.3166165351867676,-23.777944775254113,-101.29317135068126,100,45.14604750578793,0.2600066661834717,-0.006082611,1646.4935598373413,-6.741760912342554,4.794953346252441,8.695596694946289,6.1035155e-09
192,1930000,0.04120779037475586,8.302873373031616,39.72069950965719,3.338759183883667,-23.99625494157954,-100.31493439384869,100,49.22413695833863,0.26016807556152344,-0.024916315,1655.1149785518646,-6.971980382155185,4.717630863189697,8.60450029373169,-1.7166137e-08
193,1940000,0.06827068328857422,8.385096549987793,48.4654796141326,3.3078083992004395,-9.2371657671794,-100.71386641147045,100,49.884892812065544,0.25701093673706055,-0.018097028,1663.8436903953552,-0.6721304942430862,4.823015928268433,8.71064281463623,-6.1035155e-09
194,1950000,0.10515928268432617,8.418947458267212,50.44425636906928,3.2878775596618652,0.4594687613540539,-98.93426523043905,100,54.269570835248494,0.25165820121765137,-0.02877045,1672.6364777088165,3.1970285669594123,4.8708484172821045,8.776106834411621,1.8310548e-08
195,1960000,0.055313825607299805,8.293400526046753,66.72961165238767,3.238323211669922,27.934565511709042,-100.42680353054293,100,51.11848506983431,0.25730180740356445,-0.0032392864,1681.2608325481415,14.864716548415409,4.803973913192749,8.606258392333984,1.8978119e-08
196,1970000,0.06344437599182129,8.32495903968811,68.9031554696055,3.289832592010498,11.34009988629795,-96.60755625037397,100,57.5178231247661,0.30686473846435547,-0.0049992083,1689.9769735336304,7.632131541034504,4.790612459182739,8.696794033050537,6.1035155e-09
197,1980000,0.06545305252075195,8.218430995941162,65.12702101352626,3.2606523036956787,-22.30803542858954,-104.47486848825416,100,67.00666386956253,0.25530576705932617,-0.021981893,1698.5342648029327,-6.4271308402331355,4.711929798126221,8.539427042007446,-4.8828124e-08
198,1990000,0.06810212135314941,8.321184873580933,67.05313605944575,3.2548086643218994,5.514006354439114,-103.91017382084092,100,60.5847021508998,0.24895596504211426,-0.014711865,1707.1901009082794,5.362741319844429,4.8174450397491455,8.6385018825531,2.4414062e-08
199,2000000,0.06705760955810547,8.210387706756592,73.79405509352331,3.2596986293792725,35.30400308335976,-96.86297931212829,100,46.012316422943435,0.24292397499084473,-0.004832779,1715.7260291576385,17.784387529901608,4.705605506896973,8.520612478256226,1.8310548e-08
200,2010000,0.06556868553161621,8.23742389678955,74.01625236680432,3.285046339035034,48.04866739894402,-102.45135907292176,100,46.61435298170112,0.2841796875,-0.027704328,1724.3298411369324,23.217584858331715,4.677914142608643,8.587422609329224,-0.0009655365
201,2020000,0.04468703269958496,8.295379161834717,70.43554140650991,3.2766387462615967,30.158653223520883,-104.66695011212278,100,53.61723448144973,0.2713735103607178,-0.026462946,1732.957967042923,15.648818854020254,4.769059658050537,8.611672639846802,-1.0681152e-08
202,2030000,0.04059267044067383,8.298932790756226,71.3846136930437,3.268861770629883,-11.505885532974684,-98.34987961619905,100,62.599930303178105,0.2706747055053711,-0.023065269,1741.5871636867523,-2.0274985917707484,4.7826502323150635,8.610488891601562,-3.8146972e-10
203,2040000,0.0656285285949707,8.434388637542725,70.6173811060962,3.287419080734253,5.4423565251504975,-97.41240928884869,100,65.05137820798885,0.346207857131958,-0.017136946,1750.452323436737,5.537151214945367,4.902947425842285,8.846473693847656,5.79834e-08
204,2050000,0.03133988380432129,8.316200017929077,66.38942297173206,3.2887492179870605,30.520209592120295,-98.98728217579217,100,55.41205616805954,0.26364850997924805,-0.026501114,1759.0865142345428,15.911385481500751,4.773900270462036,8.611425161361694,-4.119873e-08
205,2060000,0.10219335556030273,8.337244510650635,71.85091406426261,3.2925949096679688,21.463951579510876,-99.17259817531556,100,56.76654296411502,0.3399639129638672,-0.03053284,1767.8843703269958,12.08523330882145,4.794948577880859,8.77968454360962,-3.3569336e-08
206,2070000,0.06814908981323242,8.292233228683472,68.27493928578508,3.284205675125122,-1.4916554657151273,-104.95979433954591,100,63.27012315834844,0.2555665969848633,0.0021263794,1776.5176780223846,2.5677011487931525,4.761399984359741,8.616187334060669,3.2043456e-08
207,2080000,0.03400707244873047,8.337421178817749,68.98880248863172,3.28464937210083,-4.188840907432447,-97.6454951688105,100,65.53051402371958,0.2579314708709717,-0.0037419128,1785.1639194488525,1.509563164734831,4.8089518547058105,8.629607200622559,-1.8310548e-08
208,2090000,0.05041217803955078,8.32402229309082,72.93991497709695,3.317140579223633,12.06201488381876,-113.10583840484477,100,67.38682322143553,0.26954197883605957,-0.027044283,1793.8252737522125,8.401522069452001,4.761333703994751,8.644541501998901,-2.5939942e-08
209,2100000,0.09247374534606934,8.27419137954712,69.08423097842653,3.29197359085083,70.78585052691052,-97.35608157158168,100,49.08336438574254,0.26189708709716797,-0.0030535934,1802.4708287715912,33.12438651796272,4.741171598434448,8.628793239593506,-4.2724608e-08
210,2110000,0.04246997833251953,8.176934480667114,72.84635909107543,3.2206954956054688,42.781945644565404,-96.98580876867258,100,57.762864772361134,0.26181721687316895,-0.009858554,1810.972288608551,21.14488007670574,4.714032411575317,8.48148512840271,3.967285e-08
211,2120000,0.07139754295349121,8.45796012878418,67.51124094684317,3.3234801292419434,58.74737601815312,-99.38727320139537,100,52.45297596528766,0.25040459632873535,-0.018031836,1819.7725701332092,27.96982743771548,4.882455348968506,8.780000686645508,3.051758e-08
212,2130000,0.06865239143371582,8.221546649932861,73.11598495351623,3.2953553199768066,61.77838991471623,-96.6447729369275,100,50.182143680223795,0.2481389045715332,-0.05437257,1828.3267521858215,29.049416736739296,4.676393508911133,8.538540124893188,-1.449585e-08
213,2140000,0.04869365692138672,8.253703832626343,71.11047207695336,3.2628350257873535,50.56994032389403,-94.15088398133524,100,54.76345136600548,0.2719736099243164,-0.0069246963,1836.9187440872192,24.01639856778779,4.743105411529541,8.57459831237793,3.051758e-08
214,2150000,0.03858447074890137,8.302647352218628,79.37871317383038,3.2690508365631104,46.545074373335126,-99.3747167691938,100,59.79296384229983,0.27343297004699707,-0.18104567,1845.551029920578,22.662832288696286,4.763983249664307,8.614913940429688,1.8310548e-08
215,2160000,0.0407719612121582,8.2107572555542,75.11137064678154,3.248936653137207,43.52918699218962,-90.73089269285292,100,42.32071701177728,0.2632589340209961,-0.0122608915,1854.0845141410828,21.870099782710057,4.713168144226074,8.515059471130371,2.2888184e-08
216,2170000,0.06622910499572754,8.15817379951477,83.3106511080394,3.1872386932373047,-35.99051578599112,-119.40219604919756,100,50.80202221692159,0.3102731704711914,-0.083727166,1862.635586977005,-19.62261258005775,4.716982364654541,8.534906387329102,7.324219e-08
217,2180000,0.04154038429260254,8.215163469314575,95.06802168631698,3.1306240558624268,-57.8237538167617,-240.52160154161413,100,76.60417914709922,0.256824254989624,-0.017566819,1871.1692447662354,-35.39822951929049,4.8362205028533936,8.51377010345459,-3.051758e-08
218,2190000,0.09486699104309082,8.222728490829468,91.940824390961,3.115391492843628,-94.27071579237477,-242.22008938838616,100,78.18169454561611,0.3187143802642822,-0.037650764,1879.821827173233,-56.524787829016425,4.857536554336548,8.636534690856934,1.2207031e-08
219,2200000,0.07143473625183105,8.01584243774414,99.82725920446468,3.053651809692383,-9.145889082865345,-241.34858150971021,100,83.62320290896787,0.2742018699645996,-0.006159009,1888.2017185688019,-19.59160563859379,4.706671476364136,8.361722707748413,-1.8310548e-08
220,2210000,0.09003019332885742,8.015004396438599,101.82108151658731,3.0372092723846436,19.638987593340392,-242.21274190265393,100,87.67737508737434,0.3944859504699707,-0.0117545985,1896.7211048603058,-8.8482244245129,4.7348151206970215,8.499772310256958,2.2888184e-08
221,2220000,0.07419729232788086,8.05047869682312,97.48429544160352,3.0247561931610107,91.34661455784526,-135.3402565023662,100,57.49474071671532,0.26021480560302734,-0.008469858,1905.1263000965118,23.69101568637815,4.777998208999634,8.385119438171387,-4.2724608e-08
222,2230000,0.059049129486083984,8.044651985168457,99.23625923437203,3.0538012981414795,77.24240967982803,-200.01224864529246,100,67.06508568907697,0.28115153312683105,-0.0121662645,1913.528913974762,18.287747160033984,4.738359451293945,8.385075330734253,-0.0015463104
223,2240000,0.038521528244018555,8.128787517547607,99.50763279784687,3.0829997062683105,115.45618737329067,-221.15806312864046,100,68.72857940007923,0.2874300479888916,-0.011351022,1922.0014700889587,35.54462103997133,4.791905641555786,8.454990148544312,6.1035155e-09
224,2250000,0.06678557395935059,8.006896257400513,102.73161904405146,3.095974922180176,117.27783029510134,-212.435446441657,100,76.42281733629171,0.26563310623168945,-0.009722452,1930.3578839302063,35.820518037466,4.661624431610107,8.339570045471191,-3.6621095e-08
225,2260000,0.07264304161071777,8.018543004989624,104.65223475223173,3.0741212368011475,113.87834494880948,-133.5506616515406,100,76.56326426011289,0.26494455337524414,-0.008816162,1938.7330441474915,34.34858251391713,4.698024272918701,8.356447696685791,-1.373291e-08
226,2270000,0.08649277687072754,7.951545238494873,103.61766237143674,3.039384603500366,131.74858646142673,-130.66288072594506,100,72.8412830056398,0.2992699146270752,-0.00865174,1947.090756893158,42.61177795391485,4.6601128578186035,8.337544918060303,-1.8310548e-08
227,2280000,0.06650972366333008,7.855634450912476,101.20212175240339,3.0512232780456543,132.53999963963747,-137.53324470008675,100,77.02305543169514,0.2653799057006836,-0.019437118,1955.2959728240967,43.70237472127976,4.562469244003296,8.1877920627594,-1.5258789e-09
228,2290000,0.0567781925201416,8.169399976730347,103.09829083521623,3.104083776473999,149.26106952671927,-119.4127700021157,100,63.779464220241756,0.2723836898803711,-0.010617873,1963.812471151352,49.221061477508194,4.816956520080566,8.498771667480469,6.866455e-09
