train-NumTrajs,train-MinReturn,Itr,Time,n_timesteps,train-StdReturn,LossBefore,train-MaxReturn,LossAfter,Time-SampleProc,train-AverageDiscountedReturn,Time-Sampling,ItrTime,Time-Optimization,train-EnvExecTime,train-AverageReturn,train-PolicyExecTime
100,-53.406897285691805,173,28438.72746706009,1740000,3.3682803908211536,0.025182376,-39.17887632727778,-2.8728971,0.019106626510620117,-129.2745845955743,104.39219307899475,107.32767796516418,2.916016101837158,4.861682891845703,-46.61317219000881,99.13777542114258
100,-53.9433816393577,174,28548.277590990067,1750000,3.122134476832196,0.0031599381,-38.628977633753976,-3.039894,0.019323110580444336,-129.1201590406448,106.82623505592346,109.52989792823792,2.683892011642456,4.742758512496948,-46.56561769480386,101.6486246585846
100,-53.77931406692976,175,28653.61687707901,1760000,3.423599823466011,0.00846102,-38.67891819675528,-3.1611853,0.019367218017578125,-130.98929215440728,102.96760082244873,105.31941986083984,2.3316781520843506,5.028073787689209,-47.42239363097045,97.54667711257935
100,-54.636556901632474,176,28762.736810922623,1770000,3.188582247382797,-0.014318887,-38.73001822719656,-3.3268921,0.019790172576904297,-130.19295354836007,106.11071515083313,109.09794211387634,2.9670681953430176,4.533209800720215,-47.04007142027986,101.18282771110535
100,-53.282498541447026,177,28874.116225004196,1780000,3.0201679655353657,0.018508175,-38.935883072905064,-3.5004864,0.01938319206237793,-129.9041746607705,108.71389389038086,111.35958075523376,2.624614953994751,4.967235565185547,-46.93867416680649,103.35117959976196
100,-53.65972044920629,178,28985.591240167618,1790000,2.914091271768151,0.00049832003,-39.39951454742605,-3.6532798,0.024712085723876953,-130.38481664884227,108.0213770866394,111.45379710197449,3.4064252376556396,4.906535625457764,-47.14878949501982,102.71511340141296
100,-53.21103533983529,179,29095.59224510193,1800000,3.121298998687258,-0.00072024844,-38.9019556354295,-3.7778044,0.02315807342529297,-129.5630910313838,106.13929891586304,109.97983908653259,3.8160650730133057,4.744359016418457,-46.77566600331972,100.88989853858948
100,-54.089742737605725,180,29204.222153902054,1810000,3.0078135355370232,0.016212415,-38.732671488786714,-3.9306052,0.020022869110107422,-129.71814660300356,105.84848022460938,108.60766816139221,2.7308290004730225,4.934334993362427,-46.84701080479281,100.49372053146362
100,-54.03335541719758,181,29293.14212822914,1820000,3.079234762030968,0.015137062,-37.12714357618466,-4.1160283,0.02101612091064453,-129.42063155487588,86.67176508903503,88.8997311592102,2.2060699462890625,4.701598167419434,-46.70343980840594,81.57267260551453
100,-52.90654840717003,182,29380.754640102386,1830000,3.1011892874290456,-0.008192599,-39.71696466354472,-4.3015537,0.02190089225769043,-130.41813781345297,85.40289211273193,87.59238290786743,2.1671879291534424,4.766252040863037,-47.175473156343244,80.24192023277283
100,-55.454949404019736,183,29470.080203056335,1840000,2.9789769625611187,0.0002035141,-39.71750379315155,-4.4751687,0.020082950592041016,-129.78523318022113,87.01310896873474,89.30483984947205,2.270853281021118,4.565823316574097,-46.89396334152031,82.05464673042297
100,-54.73807249678649,184,29557.656678199768,1850000,3.1066284531596366,-0.010989805,-39.71187151668882,-4.6082835,0.02104973793029785,-129.92664357938793,85.36772680282593,87.55630207061768,2.167114019393921,4.847464561462402,-46.95076033469718,80.12685036659241
100,-52.94791936069615,185,29647.091866016388,1860000,2.8756710072427345,0.009791412,-39.37586974904973,-4.778641,0.14792108535766602,-128.77156201835382,86.70557498931885,89.41288614273071,2.551975965499878,4.735742092132568,-46.41842683946964,81.55149173736572
100,-52.13045842711407,186,29737.959550857544,1870000,2.3158223887882468,0.008098072,-39.71405605807526,-5.017776,0.01938009262084961,-129.91803443173504,88.43347811698914,90.84559893608093,2.3914520740509033,4.617615699768066,-46.924406629229715,83.42088842391968
100,-52.85825913736084,187,29840.498663187027,1880000,3.189983493072124,-0.010006842,-38.962475932954284,-5.1371636,0.02851080894470215,-130.91190847934075,99.75590300559998,102.52034091949463,2.7336649894714355,5.019183397293091,-47.37322516299334,94.17528891563416
100,-52.652002725200674,188,29930.740163087845,1890000,2.8562361835261045,-0.0013058609,-38.8558652575967,-5.2845473,0.03203392028808594,-130.26933116669824,87.87723326683044,90.2116310596466,2.3000528812408447,4.737301349639893,-47.09908555902468,82.74057793617249
100,-53.37421584937401,189,30019.863811016083,1900000,3.14254073947078,-0.001639933,-37.9590121075497,-5.436961,0.026540756225585938,-129.25762400821284,86.34470105171204,89.0992739200592,2.727686882019043,4.623046875,-46.61623514552315,81.32338953018188
100,-54.46344936222815,190,30107.136115074158,1910000,3.332474219489037,-0.00043981476,-38.622312581092494,-5.570386,0.026671171188354492,-130.46143375081,84.8134229183197,87.25137090682983,2.410933017730713,4.56269645690918,-47.17648079696869,79.84949159622192
100,-53.18148533623191,191,30195.634901046753,1920000,3.0511299356118458,0.011207942,-38.75963543423134,-5.6303644,0.019496917724609375,-130.85531892375886,86.31034398078918,88.47726702690125,2.1470468044281006,4.7120749950408936,-47.35440818320929,81.20602917671204
100,-53.168339608998856,192,30284.823206186295,1930000,2.952577899514178,0.015040434,-37.805944279862686,-5.572315,0.13464093208312988,-129.4365339867161,86.7705750465393,89.16740703582764,2.261754035949707,4.712133169174194,-46.71853239517393,81.6508891582489
100,-52.6254764975375,193,30373.96601319313,1940000,2.7990793688907996,0.009876045,-39.561005545381036,-4.398125,0.02172994613647461,-130.19935486117825,86.66469478607178,89.12313795089722,2.43514084815979,4.944502830505371,-47.06233817406721,81.31474781036377
100,-53.726352668315734,194,30464.146311044693,1950000,3.013218194364238,-0.00080611114,-38.239413681856135,-2.9017706,0.01907515525817871,-131.5469569677694,87.63185787200928,90.1579360961914,2.5042381286621094,4.693220138549805,-47.67046102990221,82.5437490940094
100,-53.4798085766679,195,30554.81299495697,1960000,3.435846857244103,-0.007937818,-38.220587431427276,-5.0891204,0.02015399932861328,-129.7947279069676,88.17430400848389,90.64454698562622,2.4486641883850098,4.564234256744385,-46.867230266061114,83.21065998077393
100,-53.246210537801986,196,30645.98907017708,1970000,3.231523162853835,-0.014139587,-39.15986213278605,-48.159775,0.01904010772705078,-128.91042635333045,88.55197215080261,91.15329098701477,2.5808868408203125,4.62617301940918,-46.485318751353645,83.52818012237549
100,-54.207084222822886,197,30735.972084999084,1980000,3.074596552375945,-0.022519235,-39.691363010378936,-997.1358,0.0603480339050293,-131.4354458520127,87.43563294410706,89.96136975288391,2.4648520946502686,4.572493076324463,-47.610782263880395,82.46559500694275
100,-55.13987734563753,198,30827.90354204178,1990000,3.2374223215323834,-0.00045947114,-38.76734306893758,-12685.616,0.020249128341674805,-130.7462594850157,89.7459967136383,91.9132227897644,2.1450741291046143,4.797590970993042,-47.3110742346303,84.5508828163147
100,-54.25522656006139,199,30916.96635222435,2000000,3.2928754074895408,0.00095908204,-37.628837261602406,-12334.599,0.019456148147583008,-130.59882538423847,86.722736120224,89.04252099990845,2.2989470958709717,4.627276420593262,-47.23640480460498,81.6954288482666
100,-53.785463351783505,200,31007.16078400612,2010000,2.94951942062681,-0.009490099,-39.29179160068431,-844.3192,0.027979612350463867,-129.80437788887352,87.81070303916931,90.1730432510376,2.3334121704101562,4.586160898208618,-46.86777826911887,82.8170166015625
100,-52.975444545680695,201,31104.48371911049,2020000,3.17514025890559,0.0020445397,-38.53774153190359,-323.27505,0.019299030303955078,-129.1012518988906,94.83283710479736,97.30306124687195,2.4494988918304443,4.79465126991272,-46.57167285757714,89.63767051696777
100,-53.740992637611335,202,31197.74205684662,2030000,2.9179194729154276,0.0017867584,-39.59256320204718,-1350.3282,0.018769025802612305,-130.07848088166887,90.99325180053711,93.23555493354797,2.2213938236236572,4.643717288970947,-47.00043010542862,85.95287871360779
100,-149.43817391038053,203,31285.39687228203,2040000,47.75722381635615,0.0006256226,76.44082193633713,-784.99384,0.02057504653930664,-31.029786060606458,84.95709800720215,87.63415884971619,2.655977964401245,4.417335033416748,-12.130303876934471,80.14490723609924
100,-23.493001319423147,204,31375.691721200943,2050000,16.766245149298072,0.0062480103,88.96700103508833,-1455.6742,0.01837611198425293,76.5933080536141,87.87737488746643,90.26981782913208,2.373711109161377,4.477302551269531,44.16547824379278,82.99964666366577
100,51.74618277789208,205,31466.388550043106,2060000,11.407100204610598,0.0015953903,102.20085381817016,-3441.0503,0.019559860229492188,147.72808793328545,87.97034478187561,90.67095112800598,2.6791539192199707,4.5027947425842285,77.71411105238428,83.0711259841919
100,90.61045970246697,206,31557.443791151047,2070000,11.531981340233813,-0.0050641336,162.20324271358945,-13259.058,0.01875472068786621,221.85330285799893,88.7578911781311,91.03428983688354,2.253654718399048,4.561963796615601,120.01071925236216,83.79757905006409
100,170.7556384017977,207,31645.949131965637,2080000,4.195520330327896,0.01969872,188.49076358229144,-39158.65,0.01865530014038086,336.3288602856934,86.12063407897949,88.45569515228271,2.316096067428589,4.342569828033447,182.54675405103052,81.38687372207642
100,165.1452043956738,208,31734.315593242645,2090000,2.79719811262443,0.007248509,177.7122491870123,-18088.89,0.02147698402404785,300.7993502941244,85.96288108825684,88.34261775016785,2.3578779697418213,4.546241044998169,172.23787877665802,81.01413822174072
100,158.96508814889296,209,31824.09353327751,2100000,3.68962107940038,0.01779507,178.2802507902685,1211.9598,0.020447969436645508,292.21926421512666,87.5758888721466,89.75593709945679,2.158137083053589,4.566899061203003,169.08478103954073,82.61511611938477
100,161.15230442667826,210,31914.830537319183,2110000,3.5749476656925725,0.0047617233,178.24408723671885,89.02797,0.01929497718811035,293.8199560506713,87.38499402999878,90.71469497680664,3.3089489936828613,4.609166860580444,169.6798281895352,82.3435287475586
100,154.50969692525683,211,32000.42583489418,2120000,4.308698213732014,0.007598552,179.24130639338054,25.051434,0.028354167938232422,293.32245461033637,82.54577016830444,85.57429099082947,2.9984750747680664,4.593361139297485,169.48991692642926,77.51018500328064
100,160.03805763083298,212,32081.709821224213,2130000,3.2407319627116715,-0.0069923066,178.31768844569768,6.969192,0.017102956771850586,290.3042918085414,78.43186593055725,81.26275706291199,2.8134379386901855,4.556399345397949,168.24438267190672,73.45972800254822
100,160.16149973921736,213,32163.939215183258,2140000,3.3691968586124044,0.0004445713,181.88940742609466,2.826934,0.01970219612121582,291.16947836182476,79.84651207923889,82.20817804336548,2.340601921081543,4.640503644943237,168.61031458530317,74.78491473197937
100,156.6382484229823,214,32245.02942109108,2150000,3.597980396154295,-0.0073113954,176.6108719755067,0.9035643,0.017915010452270508,288.02342228615754,77.56961679458618,81.07081699371338,3.4829230308532715,4.530004024505615,167.37054207834154,72.64879608154297
100,159.08315165373983,215,32324.438717126846,2160000,3.3429012567915435,0.0049941414,176.67018797474176,0.3670672,0.031005859375,289.85998182594335,76.22740197181702,79.38296723365784,3.1242198944091797,4.5619518756866455,168.08269521924177,71.27154850959778
