train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-NumTrajs,Time-Sampling,ItrTime,LossAfter,n_timesteps,Time-Optimization,Time-SampleProc,LossBefore,train-StdReturn,Time,train-EnvExecTime,train-AverageReturn,train-MinReturn,Itr
-132.44612438176372,-39.061697356270685,188.39390659332275,100,193.6231758594513,196.44523215293884,-1.8398254,1060000,2.801002025604248,0.019685029983520508,0.00890216,3.4988245032371466,22759.67642903328,4.821020841598511,-44.637144334769566,-51.86175475652908,105
-131.5613599130286,-37.88165325097694,190.74044632911682,100,195.92517590522766,199.2431399822235,-1.6937188,1070000,3.2943971157073975,0.022212743759155273,-0.019716648,3.4773051629077973,22958.952741861343,4.768570423126221,-44.279857922227,-52.25878482533441,106
-132.33424970376774,-38.336888703160255,184.75176620483398,100,189.9797580242157,193.40685844421387,-1.4918518,1080000,3.4060311317443848,0.018924236297607422,0.0064225313,3.8116635858620054,23152.3816781044,4.81082558631897,-44.57574567580542,-52.21920040667978,107
-132.42968570112876,-39.26617633619216,201.05668926239014,100,206.374440908432,209.88947010040283,-1.3850878,1090000,3.4938130378723145,0.02042412757873535,0.0013462249,3.4653079693319038,23362.293005228043,4.827463865280151,-44.63817643691589,-52.58697353232138,108
-131.311466534536,-36.029033070631655,212.25732731819153,100,217.8427379131317,221.3488359451294,-1.2977221,1100000,3.4857771396636963,0.01970195770263672,-0.0014660003,3.4632191154925134,23583.663121938705,5.1519951820373535,-44.180628343136384,-51.67311883799402,109
-133.55215019509455,-38.63195056996316,199.84247541427612,100,205.16132712364197,208.24458169937134,-1.1970005,1110000,3.0608067512512207,0.02046370506286621,0.0037922668,3.71081163317034,23791.92673420906,4.893342018127441,-45.046281897417146,-52.891978484700644,110
-133.07192796113176,-39.69617081966785,176.45443105697632,100,181.57538986206055,185.323548078537,-1.164414,1120000,3.7284841537475586,0.01926898956298828,-0.014827086,3.5131422285172036,23977.273139953613,4.711150169372559,-44.90179022967457,-53.33941709827464,111
-131.86172514863173,-38.184557244391,180.35472631454468,100,185.53212213516235,188.3993010520935,-1.0850956,1130000,2.844369888305664,0.021451950073242188,-0.0080728335,3.4715296747539917,24165.692969083786,4.736897945404053,-44.415871200065446,-51.972684530239924,112
-132.5715137977833,-39.364007893470216,173.74679803848267,100,178.95184302330017,182.25052285194397,-1.0002553,1140000,3.276357889175415,0.020913124084472656,0.0062695984,3.767842339556515,24347.964595079422,4.791029453277588,-44.64637014748383,-53.49161610280358,113
-132.18880431756347,-37.80649504076976,170.7198052406311,100,175.85643482208252,179.28845286369324,-0.9420108,1150000,3.401456117630005,0.029258012771606445,0.0034217027,3.514106838031534,24527.27367925644,4.7114152908325195,-44.53653373526037,-53.83005319665561,114
-132.9361013622431,-38.32567378257068,162.93068313598633,100,168.0368309020996,170.92942309379578,-0.91067684,1160000,2.8657851219177246,0.025315046310424805,0.010817606,3.582463790762442,24698.225355148315,4.694016218185425,-44.839425177380754,-53.03593491058431,115
-131.23946466313234,-38.93236839782145,159.83425641059875,100,165.01100206375122,167.42329120635986,-0.8214847,1170000,2.388300895690918,0.022590160369873047,0.02016661,3.4942047803212515,24865.66715812683,4.766104221343994,-44.1780552708394,-54.263518506437116,116
-133.02530191773855,-38.14737115748851,151.82011580467224,100,156.97921800613403,159.29263496398926,-0.78132874,1180000,2.286925792694092,0.024178743362426758,0.01834485,3.950371856192771,25024.982211112976,4.747290849685669,-44.851618009026055,-53.91628131265922,117
-132.02534499969477,-37.97020338813013,139.115074634552,100,144.27534675598145,146.54356694221497,-0.78083533,1190000,2.246856927871704,0.020034074783325195,0.01072251,3.4771993513524495,25171.546633005142,4.737924814224243,-44.44781258756706,-52.40427269309765,118
-133.5717737923829,-36.64300691433184,113.08190441131592,100,118.27261805534363,120.76298213005066,-0.7900781,1200000,2.4678537845611572,0.022092819213867188,-0.03225157,3.536954752148987,25292.331042051315,4.7808613777160645,-45.08067244183923,-52.795283728537115,119
-133.18633690659118,-38.9409723109329,102.51344466209412,100,107.77853894233704,110.79304027557373,-0.7279897,1210000,2.9964089393615723,0.017699003219604492,-0.002805301,3.523275966484282,25403.145143032074,4.847371339797974,-44.917335520467965,-53.37385553549282,120
-130.02800762997103,-38.80326564013053,97.84780645370483,100,103.12360215187073,105.37690424919128,-0.70555764,1220000,2.232530117034912,0.01999211311340332,-0.024626,3.333711771466782,25508.545785188675,4.860609531402588,-43.65622127173258,-53.713008647812636,121
-131.72937424186046,-38.9411838139293,103.20200800895691,100,108.59516215324402,111.07305812835693,-0.6568031,1230000,2.456733226776123,0.019444942474365234,0.010539154,3.456685684155069,25619.639230012894,4.927966117858887,-44.326597360662305,-51.769658295360976,122
-133.04255235822833,-39.51452319770461,97.39201712608337,100,102.53397178649902,105.36055111885071,-0.6102485,1240000,2.8051059246063232,0.02107381820678711,-0.0001545105,3.730335581671284,25725.020780086517,4.734437942504883,-44.850096173905285,-53.97145318077734,123
-131.20566583049828,-35.837421363092446,96.70187306404114,100,101.81194806098938,103.94252800941467,-0.5984387,1250000,2.107266902923584,0.022942304611206055,-0.0022209426,3.560033184589683,25828.98352909088,4.698248386383057,-44.10386717217978,-52.16304347088648,124
-131.08986949385928,-37.70216292846517,93.02856087684631,100,98.16590690612793,100.41899085044861,-0.5440519,1260000,2.2317402362823486,0.019927024841308594,0.007263442,3.6350643125839817,25929.422597169876,4.73276686668396,-44.110705183670646,-53.00662088668747,125
-131.83649134631622,-40.14016498039143,94.61752247810364,100,99.77911496162415,102.17719912528992,-0.5283527,1270000,2.3764808177948,0.02001500129699707,-0.012358043,3.0147657303740485,26031.62184405327,4.746839284896851,-44.447629963985136,-52.59758521078393,126
