Time-Optimization,Time-SampleProc,Time,train-MaxReturn,Itr,train-EnvExecTime,Time-Sampling,train-PolicyExecTime,ItrTime,n_timesteps,LossBefore,train-MinReturn,train-StdReturn,train-AverageReturn,train-AverageDiscountedReturn,LossAfter,train-NumTrajs
0.23578381538391113,0.041570425033569336,840.2581570148468,171.04154145127725,105,2.637850761413574,7.739106893539429,4.8389317989349365,8.016667604446411,1060000,1.7547608e-08,-41.84126955381854,42.351842662174334,77.96340994861538,162.09343103478614,-0.009114789,100
0.21361541748046875,0.05350208282470703,848.3070063591003,154.54739567860463,106,2.6499128341674805,7.76779842376709,4.858085870742798,8.035161256790161,1070000,3.8146974e-09,-61.83155669703824,44.465489351859325,75.184981312006,157.28552637867273,-0.015115477,100
0.2283923625946045,0.037682533264160156,856.2393414974213,143.1208218772934,107,2.6171882152557373,7.6520490646362305,4.775000810623169,7.918379783630371,1080000,-6.1035155e-09,-55.48195457593782,42.98122470625194,74.72096450565878,154.57442217336865,-0.011519941,100
0.21597719192504883,0.043164968490600586,864.2146978378296,142.6157988729397,108,2.6199631690979004,7.702216386795044,4.818873167037964,7.961597919464111,1090000,2.5939942e-08,-99.56369585989782,45.72760451656858,73.05442204521829,152.31912064908283,-0.013766403,100
0.21040582656860352,0.043569087982177734,872.1724772453308,158.5018012038767,109,2.619544744491577,7.689067125320435,4.805616855621338,7.943268537521362,1100000,9.155274e-09,2.514582985060323,34.71701688500295,82.3958452250934,167.58753637789948,-0.018098166,100
0.21175026893615723,0.04458141326904297,880.1549689769745,149.88967813177862,110,2.61641263961792,7.711931943893433,4.835459232330322,7.968487977981567,1110000,4.577637e-09,-59.005477327442,42.14769261942698,73.94913238429959,153.8562438911655,-0.041060876,100
0.22237825393676758,0.043504953384399414,888.1325490474701,151.8067751488292,111,2.625539779663086,7.697295188903809,4.81001091003418,7.963473558425903,1120000,6.1035155e-09,-31.900541684323613,38.51229538873455,81.38824198329635,168.1418993088849,-0.028360913,100
0.2133769989013672,0.044252634048461914,896.1281311511993,156.42746582576152,112,2.624037027359009,7.722534418106079,4.835521697998047,7.980397939682007,1130000,-5.340576e-09,-42.04192172033014,35.56785059716544,71.82619023152601,149.8979439879261,-0.010299292,100
0.20589923858642578,0.07906365394592285,904.1959714889526,128.40521327802063,113,2.642132520675659,7.768080949783325,4.86178183555603,8.053283929824829,1140000,3.0517577e-09,5.366915440607871,29.191423367651343,73.54402970507168,151.15881712510395,-0.011740741,100
0.2197268009185791,0.04220700263977051,912.219907283783,139.2082889415503,114,2.6379189491271973,7.747247695922852,4.84596061706543,8.00940728187561,1150000,1.2207031e-08,-25.892160061135,36.36157209088848,66.13554723479002,136.92484627581172,-0.011554935,100
0.2109360694885254,0.058641672134399414,920.1894578933716,140.6560136230803,115,2.607675075531006,7.685614824295044,4.818749666213989,7.955411911010742,1160000,-1.2207031e-08,-42.90669958884757,36.42832210813255,66.01927367508077,136.80155627658016,-0.015630921,100
0.20884084701538086,0.07107043266296387,928.1543846130371,156.30583953102996,116,2.6093907356262207,7.671091318130493,4.801900386810303,7.95121431350708,1170000,8.392334e-09,-9.332958490498203,33.36045213028982,81.29697203965343,165.97455824415363,-0.013932056,100
0.23152780532836914,0.04638814926147461,936.2248096466064,145.8018116474037,117,2.637708902359009,7.7771828174591064,4.8781187534332275,8.055338144302368,1180000,-0.0011689881,-17.41983879604605,31.78756662192672,84.38534181740292,171.30969292151116,-0.012908739,100
0.2197275161743164,0.045220136642456055,944.2533979415894,143.76966960107,118,2.6133816242218018,7.749538898468018,4.875340223312378,8.014730215072632,1190000,-1.1444092e-08,-9.655630775905413,34.99279506226882,82.47021386085487,169.95115013264737,-0.02418403,100
0.2222442626953125,0.04750418663024902,952.289754152298,145.23962494725546,119,2.631819009780884,7.752347707748413,4.857900142669678,8.022332429885864,1200000,6.1035155e-09,-59.9570780221741,37.80405549048066,81.35242262285237,168.25861279191264,-0.013492852,100
0.21970295906066895,0.04140830039978027,960.2900195121765,158.4422848582583,120,2.625791311264038,7.724263668060303,4.834455966949463,7.985590934753418,1210000,1.373291e-08,-9.170033976004884,34.717482163551644,85.31018033326914,176.42629133195558,-0.0068957335,100
0.22627568244934082,0.044584035873413086,968.3605344295502,147.87489595522467,121,2.6389501094818115,7.785722732543945,4.884211778640747,8.056814670562744,1220000,-0.0016380799,-27.68019361686272,34.22860182019275,89.79921934634369,183.66798812440993,-0.013902621,100
0.2169780731201172,0.052755117416381836,976.3752562999725,146.6000964921895,122,2.6433839797973633,7.731349945068359,4.824738025665283,8.001312971115112,1230000,-1.6784668e-08,-0.13293082790519906,30.049306445062683,86.80582341686387,177.13400714232432,-0.0071715424,100
0.22441673278808594,0.03890275955200195,984.3477318286896,165.32687647933383,123,2.604581832885742,7.6942973136901855,4.830932140350342,7.9578492641448975,1240000,-9.155274e-09,-1.4059670742375134,32.82099239936316,90.68786551676257,183.71153112899444,-0.015910007,100
0.21805262565612793,0.04294085502624512,992.3048646450043,154.0510926292043,124,2.6137752532958984,7.6822121143341064,4.80949330329895,7.943436861038208,1250000,3.0517577e-09,-49.97940890480981,40.37937852387257,81.98155581288373,167.7913795996181,-0.02506259,100
0.243149995803833,0.04176068305969238,1000.3436346054077,148.3363683926348,125,2.643584728240967,7.737999677658081,4.833220481872559,8.023146867752075,1260000,-7.6293943e-10,-36.06000986273327,35.75521865350568,81.78189221795682,168.99356706701786,-0.020606339,100
0.20922112464904785,0.06493878364562988,1008.3701732158661,155.17172790088676,126,2.654184341430664,7.73636531829834,4.816258668899536,8.010767459869385,1270000,-2.4414062e-08,-3.6660633199735835,33.285580386768046,90.79648107327422,185.8959216373436,-0.008148633,100
0.3121144771575928,0.07533717155456543,1016.3895909786224,148.23112303777972,127,2.6041064262390137,7.616968154907227,4.7541139125823975,8.004655122756958,1280000,-1.2207031e-08,-2.9492374583272447,30.62157258971947,90.27254628909077,183.20133976742625,-0.012191254,100
