train-PolicyExecTime,train-NumTrajs,LossBefore,Itr,Time-Optimization,Time-Sampling,LossAfter,Time,train-MinReturn,ItrTime,train-MaxReturn,n_timesteps,train-AverageReturn,Time-SampleProc,train-EnvExecTime,train-StdReturn,train-AverageDiscountedReturn
92.73604989051819,100,0.0017044067,100,2.4340720176696777,97.35457515716553,0.0005161743,10340.102376937866,-7.133422674371655,99.81152391433716,21.44456513306285,1010000,12.154699813110865,0.021517038345336914,4.178784370422363,6.0761607430366045,13.021346696838917
93.6481363773346,100,-0.0020090905,101,2.2287158966064453,98.16764307022095,-0.002948867,10440.542537927628,-10.334200569273227,100.41923809051514,20.258347683391506,1020000,11.172368214526148,0.021053791046142578,4.080097436904907,6.809231066733769,11.53341157445516
128.17309832572937,100,-0.00048954773,102,7.189887046813965,133.39144015312195,-0.0008122742,10581.177932977676,-9.330019733399089,140.61488795280457,21.784401692548183,1030000,12.942117326321625,0.03251981735229492,4.719421863555908,5.30842140346891,14.365529896705743
117.51431083679199,100,0.005065625,103,2.87768292427063,122.82089400291443,0.0038112793,10706.99025297165,-8.052594228038668,125.78131461143494,21.878702893245084,1040000,10.986586895903454,0.08127403259277344,4.817544460296631,5.894708681966647,11.182328261730355
91.56287240982056,100,-0.0010598267,104,2.400036096572876,97.15469527244568,-0.0018044433,10806.615031957626,-9.754701984393119,99.60173273086548,19.511827407587727,1050000,13.090546417982951,0.045564889907836914,5.068897247314453,4.6043032053279935,14.589761351037
81.36938524246216,100,0.00047720643,105,2.471715211868286,86.27555775642395,-0.0016067383,10895.417516946793,-10.6189320295978,88.77149486541748,20.792889835519645,1060000,10.971903572224464,0.022475004196166992,4.433672666549683,6.432525131531365,11.181613060157476
95.1282594203949,100,0.010947696,106,2.2150588035583496,99.90928101539612,0.010700986,10997.585040807724,-4.074932278963609,102.14616513252258,20.7076781713171,1070000,12.569439645104367,0.0200808048248291,4.321247816085815,4.525331007227547,13.693907821402082
105.51039099693298,100,-0.0022052003,107,2.3809800148010254,110.63825106620789,-0.00253031,11110.659327983856,-7.720259566376132,113.05432105064392,22.40734024517393,1080000,12.833139923690362,0.03418421745300293,4.501484155654907,5.907532441855858,14.162703779197725
92.72740769386292,100,-0.0007474579,108,2.5311150550842285,97.49677991867065,-0.0011860718,11210.745950937271,-6.478815239177199,100.05264091491699,21.850132795368253,1090000,13.274268919705124,0.022733688354492188,4.310728311538696,5.241134824648347,14.874134666311672
90.72734332084656,100,-0.005693347,109,2.7085471153259277,95.41350412368774,-0.006818939,11308.911499023438,-4.512295931840236,98.14809203147888,21.78918792566651,1100000,13.100026791431308,0.025358915328979492,4.23136043548584,4.104279041985593,14.699522951242173
91.18188118934631,100,-0.0020294099,110,2.247112989425659,96.01352906227112,-0.002591635,11407.220066785812,-5.543664252351908,98.28547096252441,22.54449597212148,1110000,12.92799666116784,0.021183252334594727,4.368224143981934,4.900189273104766,14.347302934554987
89.56602716445923,100,-0.003112668,111,2.1553590297698975,94.40968894958496,-0.004249072,11503.83320403099,-5.366332134102632,96.5901050567627,22.04763630763193,1120000,12.994276795116143,0.021834850311279297,4.382002592086792,5.258124176522023,14.527433493976053
87.44708299636841,100,0.001073719,112,2.153886318206787,92.15203309059143,-0.0005436966,11598.179463863373,-4.75495266149265,94.3258318901062,21.583183428088688,1130000,13.174427346735886,0.018524169921875,4.260012865066528,4.991566617594921,14.771854057481903
83.86038088798523,100,-0.019376038,113,2.091708183288574,88.61579990386963,-0.019323917,11688.932313919067,-5.833923555965456,90.72983384132385,19.999543911372275,1140000,12.859479483183607,0.020088672637939453,4.305274248123169,4.936501836868484,14.35297802998069
