train-AverageDiscountedReturn,train-MaxReturn,Time-Sampling,Time-SampleProc,train-PolicyExecTime,n_timesteps,Itr,LossBefore,ItrTime,Time-Optimization,train-EnvExecTime,train-MinReturn,train-NumTrajs,LossAfter,train-AverageReturn,train-StdReturn,Time
4.06072525585901,16.362259728692568,103.80818700790405,0.022036075592041016,99.53454995155334,1770000,176,0.0037357665,106.4860372543335,2.6539390087127686,3.833097219467163,-5.991584305814076,100,0.0025167603,2.369649867189081,5.085028451156957,18562.91374897957
3.9771852455643115,13.142779523047842,102.2825059890747,0.021162033081054688,98.04622483253479,1780000,177,0.0041024596,105.03108501434326,2.726792812347412,3.796473264694214,-6.154686462934274,100,0.0025348817,2.3323486828365403,4.682851305624986,18667.96602487564
4.28875989911654,15.070092206453635,103.01687812805176,0.01877593994140625,98.79379796981812,1790000,178,0.003624634,106.05935382843018,3.0224380493164062,3.782708168029785,-5.765844782283369,100,0.0031720458,2.56508179338292,5.090846027912275,18774.045387983322
4.4921859517463005,17.939234587897094,106.39299201965332,0.02928614616394043,101.77891802787781,1800000,179,-0.003376509,110.48044085502625,4.055033922195435,4.146321058273315,-5.591926795543244,100,-0.0057621687,2.6189706732429583,4.687489128050535,18884.546955108643
5.582047787297174,15.837856467127505,166.9028398990631,0.022281169891357422,162.20796370506287,1810000,180,0.006252087,170.32895016670227,3.402445077896118,4.200719833374023,-6.142039979853282,100,0.004300067,3.1957625771648437,5.348481694524122,19054.903008937836
5.159137557515046,13.84763995032545,165.71003079414368,0.02815103530883789,161.20083928108215,1820000,181,0.0021281738,168.90766286849976,3.1678850650787354,4.029017686843872,-5.7324265775120775,100,-0.0014898132,3.006029658105322,4.955977131418815,19223.831181764603
3.6242993497729987,16.262343603187094,159.82912373542786,0.021877050399780273,155.59935593605042,1830000,182,0.0033210448,163.09354305267334,3.2411961555480957,3.784928798675537,-6.19550611090684,100,0.002296875,2.1889804733547145,4.980305008849471,19386.952681064606
5.847267369949451,17.783582669853278,160.48185300827026,0.020945072174072266,156.2278790473938,1840000,183,0.0092781065,163.38434672355652,2.880429983139038,3.8046867847442627,-6.091264397220031,100,-0.004223047,3.525960583528712,5.3825436874978925,19550.36185979843
4.9285074846563415,14.910229993735872,163.2827582359314,0.020674943923950195,158.9398102760315,1850000,184,0.019306067,167.0053906440735,3.700336217880249,3.8996176719665527,-5.647743677520919,100,0.009717822,2.903357752871253,5.6077675163586,19717.38972902298
4.785530954957344,13.843658412004338,158.4039499759674,0.02029109001159668,154.22359371185303,1860000,185,0.012538553,161.3108651638031,2.885293960571289,3.7491581439971924,-5.524722076513692,100,0.0038935363,2.913205063703844,4.750216298797354,19878.721864938736
4.819664067501481,15.724504968731862,163.63130712509155,0.020138025283813477,159.3350808620453,1870000,186,0.0014851318,166.59015607833862,2.9383251667022705,3.8436315059661865,-5.2798903265342,100,-0.0057974854,2.9516028291952305,5.129509001024054,20045.333211898804
5.824975210821774,18.65573278805937,166.89608693122864,0.030464887619018555,162.4684042930603,1880000,187,0.0040401854,171.47973203659058,4.55092191696167,3.887561798095703,-5.675329167779832,100,-0.0049591307,3.4705282530186135,5.068457813681194,20216.833827733994
3.9229622355788805,14.166492502988216,170.68586421012878,0.02240896224975586,166.14463710784912,1890000,188,0.013032275,173.99784111976624,3.28818416595459,4.053013324737549,-5.855186036501749,100,0.0048283753,2.1976505414957592,4.877976456196427,20390.860574007034
5.423320195080355,15.93269562259322,157.62917113304138,0.02091693878173828,153.28173875808716,1900000,189,-0.0120525025,160.58311200141907,2.931349039077759,3.898768663406372,-6.214292073673269,100,-0.022347705,3.27213213188363,5.195515303011322,20551.46665096283
4.460754063686673,14.276141183069702,147.13166785240173,0.02009415626525879,143.02090311050415,1910000,190,0.0070280638,149.8868601322174,2.7333531379699707,3.677705764770508,-5.86542735656581,100,0.0021386596,2.6638910723308062,4.980010059861519,20701.420338869095
5.6871473209986165,16.001257264288817,152.39087986946106,0.030050992965698242,148.0960350036621,1920000,191,-0.021448517,155.20925307273865,2.7864599227905273,3.8596854209899902,-5.26435461094714,100,-0.025948383,3.3297785915938745,4.817340680129392,20856.654856920242
7.1948005397769865,17.957686469042617,153.87521409988403,0.018316030502319336,149.63835096359253,1930000,192,-0.0009708984,156.41186594963074,2.516094923019409,3.8045594692230225,-4.749128404371401,100,-0.001921936,4.31953889678837,5.534125227546474,21013.08993268013
5.995699934262239,15.816903806355644,158.73284792900085,0.018858909606933594,154.64916443824768,1940000,193,0.018819312,161.5212893486023,2.768019914627075,3.655395269393921,-6.527736574461899,100,0.01801999,3.598061421621134,5.444764137485305,21174.632767915726
4.899123799059634,13.9530893727221,179.24089288711548,0.029491186141967773,174.8999993801117,1950000,194,0.013956665,182.65502190589905,3.382578134536743,3.882854461669922,-5.909800148824043,100,0.012485743,2.945553485457852,4.909740426927046,21357.31102013588
6.267199161301992,14.619498056963947,326.6747498512268,0.038512229919433594,321.42947125434875,1960000,195,-0.0059993844,338.043319940567,11.328866958618164,4.67958664894104,-6.45944016880663,100,-0.006662683,3.7029847326953496,5.18906340912914,21695.39016699791
