train-EnvExecTime,train-AverageReturn,Time-Optimization,LossBefore,Time-SampleProc,Itr,train-NumTrajs,Time-Sampling,Time,LossAfter,train-PolicyExecTime,ItrTime,train-AverageDiscountedReturn,train-MaxReturn,train-MinReturn,train-StdReturn,n_timesteps
3.5526461601257324,-125.19426537294747,1.4481291770935059,-0.022633752,0.019479990005493164,163,100,24.97129797935486,4634.4020919799805,-0.02503723,20.98946976661682,26.439366102218628,-228.1149844062828,-100.50116280099101,-155.7037949369024,10.844685368146722,1640000
3.615293502807617,-120.23515192305992,1.4479308128356934,-0.0035279663,0.01882481575012207,164,100,25.100672006607056,4661.1952130794525,-0.004970541,21.05152916908264,26.772635221481323,-218.74787854143904,-93.27932504285165,-158.3823142216536,10.746484255991053,1650000
3.6030032634735107,-122.02452239558153,1.5999820232391357,-0.004641388,0.019376039505004883,165,100,25.017079830169678,4687.855130910873,-0.0058381776,20.97492265701294,26.639254808425903,-221.8672446058282,-90.95217850520682,-142.3342454974818,10.634837363256617,1660000
3.570512533187866,-123.3871438305089,1.6391048431396484,0.012693274,0.019970178604125977,166,100,24.90003514289856,4714.43639922142,0.012127726,20.876200914382935,26.55971384048462,-225.14925974538997,-96.36504681262342,-150.02831288678254,11.510797874567277,1670000
3.629030704498291,-124.06452816643358,1.432248830795288,0.0493958,0.01877307891845703,167,100,25.07038402557373,4740.979312181473,0.048726555,21.01927351951599,26.52197289466858,-226.13838005888235,-98.75748576013538,-148.96995243663105,10.228271804756362,1680000
3.556225061416626,-122.98467536620969,1.4520368576049805,-0.005625673,0.027826309204101562,168,100,25.19233989715576,4767.681951999664,-0.009749725,21.20913290977478,26.673617124557495,-224.01090934320771,-100.09713604295997,-151.17912573902555,10.803529064598605,1690000
3.6026625633239746,-121.79899608730793,1.5903332233428955,-0.021757454,0.019675731658935547,169,100,25.151731967926025,4794.465043067932,-0.025091536,21.125290393829346,26.763216972351074,-221.727385175979,-90.15290772414112,-161.10665448723887,11.247227090887636,1700000
3.5891799926757812,-122.16863114313041,1.5875351428985596,-0.0012119873,0.019985198974609375,170,100,24.92177724838257,4821.0177590847015,-0.002575241,20.908255338668823,26.530842065811157,-222.67976849240844,-103.71815699725984,-142.02902170185672,9.34358738659014,1710000
3.5828373432159424,-121.51934587685506,1.6528079509735107,0.014309864,0.019496917724609375,171,100,25.109828233718872,4847.822274208069,0.0089917,21.09263801574707,26.782975912094116,-220.62601138788995,-92.2819487114391,-150.3175896869945,11.424706753108886,1720000
3.6058506965637207,-122.94608504160011,1.4524827003479004,-0.023295145,0.0195467472076416,172,100,25.113956928253174,4874.430286169052,-0.027411828,21.06222915649414,26.58644390106201,-223.67017725334807,-99.26983091849827,-149.7145370520067,11.368938973565623,1730000
3.6167943477630615,-121.74552078430544,1.64607834815979,-0.008864331,0.019643783569335938,173,100,26.280081748962402,4902.397660970688,-0.014008728,22.213905811309814,27.947170734405518,-221.77104363552132,-95.45087241437747,-148.8174042865431,11.445075193491137,1740000
3.684004306793213,-120.21523878043239,2.136934995651245,-0.014964742,0.018173933029174805,174,100,25.452103853225708,4930.026701211929,-0.015848955,21.331594705581665,27.608591079711914,-219.19798388945333,-103.08769051119498,-147.80648569358218,9.262712361883034,1750000
3.628741979598999,-123.91665405684144,1.4763281345367432,-0.0075861146,0.018959999084472656,175,100,24.338982105255127,4955.884292125702,-0.018182531,20.261950492858887,25.835898876190186,-226.27401967030383,-97.51918195997844,-149.8686889469227,11.040510462829108,1760000
3.6163880825042725,-122.5738375297522,1.6266748905181885,0.02172906,0.02020096778869629,176,100,25.148003816604614,4982.700805902481,0.019272411,21.094080924987793,26.79531979560852,-222.70478137544185,-94.41296174785155,-152.18978386007572,10.501811943689045,1770000
3.603872299194336,-122.3628465769679,1.5714271068572998,-0.03174551,0.01940298080444336,177,100,25.02442717552185,5009.336848974228,-0.03269402,20.989879369735718,26.615702867507935,-223.2794260321841,-101.71519355610465,-146.3291507471255,10.315850589474575,1780000
3.671696901321411,-121.82615396609977,1.66001296043396,-0.018597376,0.019231081008911133,178,100,27.309597969055176,5038.348447084427,-0.019212287,23.202819108963013,28.990217924118042,-221.76935580023977,-97.54091014273365,-163.93633298874136,11.331177866677722,1790000
