Itr,ItrTime,train-MinReturn,train-EnvExecTime,train-StdReturn,LossBefore,Time-SampleProc,Time-Sampling,train-AverageDiscountedReturn,train-AverageReturn,train-PolicyExecTime,train-MaxReturn,n_timesteps,LossAfter,train-NumTrajs,Time,Time-Optimization
179,221.5755259990692,7.710053921499911,3.8200864791870117,3.0762268399013575,0.0006591461,0.018846988677978516,217.4770269393921,16.75435983099515,14.46001418527728,213.21567010879517,21.1036698850984,1800000,-0.0030186584,100,27982.042837142944,4.078054189682007
180,202.2182857990265,6.506599074817133,3.9033539295196533,3.400191233517342,-0.0074501648,0.13407611846923828,198.56659817695618,16.511341795010388,14.236181066997114,194.24646973609924,21.025190744217518,1810000,-0.007940405,100,28184.28168797493,3.5149240493774414
181,202.81820797920227,7.2078155918454865,3.8105132579803467,3.205708642956927,-0.011344202,0.02395486831665039,199.57578706741333,16.265284060661894,14.094933665604065,195.34116744995117,22.36309923001883,1820000,-0.012745227,100,28387.121207237244,3.2168872356414795
182,188.93333411216736,7.472171467073644,3.797581672668457,3.13256848824419,0.0072397157,0.018352031707763672,185.7284128665924,17.295449298301463,14.821182767441362,181.51837038993835,23.056150305170718,1830000,0.0075640795,100,28576.075479269028,3.185136318206787
183,202.9028148651123,6.55959238974177,3.76104474067688,3.231378918798945,-0.0051917955,0.017467975616455078,199.23940300941467,16.39124319527172,14.093896600916755,195.05999207496643,21.10331134807612,1840000,-0.005730426,100,28779.071213960648,3.6444971561431885
184,203.49205684661865,-7.015104177175808,3.7925126552581787,3.8659677134821706,0.0019263115,0.019266128540039062,198.8768448829651,15.709506631777328,13.793367706396998,194.66255617141724,22.22338410080015,1850000,0.0016337585,100,28982.58722305298,4.594594240188599
185,215.54025721549988,8.254162578934396,3.842385768890381,3.1499859724276495,0.012265464,0.01588296890258789,211.14934515953064,16.53228020056317,14.312033082487664,206.88455414772034,21.565625510647177,1860000,0.012169454,100,29198.148960113525,4.374611854553223
186,211.5595269203186,7.513356869409515,3.8920273780822754,2.9008732471737075,0.0038998993,0.020999908447265625,206.458487033844,15.670206416016658,13.707313656265494,202.10410046577454,21.22349183092993,1870000,0.003752112,100,29409.726489067078,5.079683065414429
187,209.74128413200378,7.832080920239508,3.853994846343994,3.1626258310880133,-0.0055408967,0.022429943084716797,206.27653312683105,16.262205684907826,14.222188387179003,201.9834053516388,20.960937699808376,1880000,-0.0060789674,100,29619.487019062042,3.441965103149414
188,206.82894492149353,5.787097291619953,3.802339553833008,3.176938605590905,0.0056368397,0.01708698272705078,201.99651384353638,16.265360792295844,14.178098970187698,197.74829292297363,22.216891179000314,1890000,0.005725729,100,29826.334896087646,4.814086198806763
189,203.14940786361694,7.470376926998187,3.8659512996673584,3.1344430810283037,-0.0193091,0.020535707473754883,199.68739295005798,15.596840737836128,13.662358937939123,195.40398812294006,21.40897770316584,1900000,-0.01934323,100,30029.50566792488,3.4396920204162598
190,200.50169396400452,-0.926065754895251,3.8762500286102295,3.3493357056363937,0.004591055,0.019422292709350586,197.5008828639984,16.6537276154321,14.342799729998127,193.20176815986633,21.052006746289724,1910000,0.0041771242,100,30230.028631210327,2.9799458980560303
191,204.40162467956543,-4.539184869566533,3.867157220840454,3.836951776704713,0.0015063904,0.03712105751037598,201.28773880004883,16.51189752320731,14.297294054406937,196.9958794116974,21.962754180526645,1920000,0.0013389343,100,30434.45158791542,3.074666976928711
