train-EnvExecTime,train-PolicyExecTime,LossAfter,train-AverageDiscountedReturn,train-MaxReturn,n_timesteps,Time-SampleProc,Time-Sampling,Itr,train-MinReturn,train-NumTrajs,Time-Optimization,ItrTime,Time,train-StdReturn,LossBefore,train-AverageReturn
3.911742925643921,129.56755685806274,0.00069375,17.107995551178877,22.216161228173014,1370000,0.025197267532348633,133.90080213546753,136,7.432499390140157,100,2.951068878173828,136.8784167766571,28319.79881978035,3.1249062789565936,0.010449878,14.563067749571335
3.8014447689056396,120.21727585792542,-0.0028842804,17.179585038595153,21.559286323548548,1380000,0.03183174133300781,124.43377375602722,137,7.944359694832663,100,2.5832550525665283,127.04923105239868,28446.875532865524,3.091991047716502,0.0038764984,14.688529445679968
3.8117191791534424,121.81175827980042,0.0034785972,17.380528620935806,22.671879345275833,1390000,0.01993083953857422,126.04917025566101,138,8.076266498629268,100,3.0880088806152344,129.1590359210968,28576.0542447567,3.1853500262028334,0.0038341659,14.8646976812658
3.821681499481201,119.65349316596985,-0.0034889344,16.335966542314516,20.794012205253022,1400000,0.019847869873046875,123.89458203315735,139,6.955483945891639,100,3.2975008487701416,127.21450114250183,28703.288794755936,3.0618466984165438,-0.0015748169,14.075616754715064
3.8252975940704346,123.21055912971497,-0.0069226073,17.080885931316264,21.73603121056375,1410000,0.018629789352416992,127.45209813117981,140,6.941889064288976,100,2.542855739593506,130.01493620872498,28833.323621749878,2.972300567104966,-0.005251642,14.5655656136667
3.85945725440979,122.83478593826294,-0.020530544,16.732296147289013,21.1125305074813,1420000,0.024621963500976562,127.10966086387634,141,7.103869128172834,100,2.8339242935180664,129.96891617774963,28963.313943862915,2.853370134349735,-0.019085737,14.361994792031938
3.795644760131836,117.05665588378906,0.002907904,17.6225454167129,21.722522846210808,1430000,0.020714998245239258,121.26867389678955,142,8.80625525674111,100,3.592985153198242,124.88386416435242,29088.21919488907,3.1523277862555776,0.0037140716,14.920192479624061
3.8306448459625244,110.63076424598694,-0.007353128,16.156728422862727,21.557361127114156,1440000,0.01957392692565918,114.87745904922485,143,7.236075421231738,100,2.8161797523498535,117.71468424797058,29205.95721578598,3.013116498583346,-0.006598642,14.003860361519013
3.786058187484741,117.85305166244507,-0.0026233033,17.617711905462667,22.617976718500646,1450000,0.01853013038635254,122.0563051700592,144,7.017798351289343,100,2.5293691158294678,124.60487198829651,29330.583609819412,3.2815003867603925,-0.002204001,14.905204547027175
3.7994346618652344,119.93927145004272,-0.012158301,17.296685866013355,21.0708941095485,1460000,0.02660393714904785,124.15633511543274,145,6.400753201238477,100,2.8789970874786377,127.06333684921265,29457.666757822037,3.2700272807720716,-0.012069769,14.755823716181004
