train-AverageReturn,train-PolicyExecTime,LossBefore,Time-Sampling,Time-Optimization,train-MaxReturn,Time,train-StdReturn,ItrTime,Itr,LossAfter,n_timesteps,Time-SampleProc,train-MinReturn,train-EnvExecTime,train-AverageDiscountedReturn,train-NumTrajs
-231.78703768352403,20.90078377723694,-0.0024784515,24.97607111930847,1.6085479259490967,-159.5822967521024,4650.238439083099,27.09626449015446,26.605109930038452,164,-0.023852527,1650000,0.0199282169342041,-285.5386624983434,3.6523563861846924,-429.29342079165633,100
-235.7333724525555,20.92155146598816,-0.008376999,25.043598651885986,1.6148879528045654,-125.27435251932754,4676.937101840973,29.686923157678972,26.67823815345764,165,-0.022901846,1660000,0.019384145736694336,-291.82098084074437,3.683518886566162,-434.67337296988546,100
-234.66435967966498,20.805855989456177,-0.023019489,24.919055938720703,1.4624769687652588,-130.94807286807776,4703.359090089798,29.041315717125222,26.401396989822388,166,-0.09243496,1670000,0.01941514015197754,-289.9238245267703,3.683666229248047,-434.86078250492085,100
-226.9197293065077,20.85799479484558,0.012400311,24.8904447555542,1.6037828922271729,-97.7045616655966,4729.895910978317,29.929479650658813,26.513801097869873,167,-0.009548022,1680000,0.0191650390625,-280.9801388593839,3.615670919418335,-420.7791213647581,100
-234.61161758276015,20.876109838485718,-0.017063672,24.974552869796753,1.6243042945861816,-137.31032046096527,4756.542191982269,28.517359402552525,26.62493109703064,168,-0.03253935,1690000,0.023040056228637695,-288.16215738006093,3.675772190093994,-432.44994907797917,100
-233.9347153130853,21.090054035186768,0.0024471236,25.201773643493652,1.6116948127746582,-149.17105242691557,4783.399415969849,24.582939066021083,26.835119009017944,169,-0.010336157,1700000,0.019767045974731445,-280.90899650305596,3.6766726970672607,-432.21306204029514,100
-233.88466312339852,20.86763310432434,0.030044202,25.00366473197937,1.4617478847503662,-119.58921759615963,4809.907988071442,31.00429919235412,26.485882997512817,170,0.017144898,1710000,0.019759178161621094,-291.8180941464389,3.708950996398926,-432.8290244666712,100
-231.6254050076316,20.803148984909058,0.0039052079,24.855950117111206,1.6652870178222656,-80.63087016021777,4836.475467920303,33.306565134661646,26.54416584968567,171,0.00014551697,1720000,0.02136397361755371,-287.68799455655716,3.630746364593506,-429.27298095422543,100
-229.59012108212497,21.005260467529297,0.008092979,25.101675033569336,1.59033203125,-134.19646886290894,4863.210155963898,30.344871728730617,26.712342023849487,172,0.00063341827,1730000,0.019866943359375,-277.19079831307744,3.675478935241699,-424.8426803762137,100
-235.89560279378085,20.991153717041016,-0.015549628,25.074100017547607,1.6083550453186035,-80.39570762723945,4889.9337339401245,35.029727961442255,26.702293157577515,173,-0.035253685,1740000,0.019429922103881836,-295.86845931808824,3.658635377883911,-437.2312151673799,100
-232.44152067468204,23.034110069274902,0.019233212,27.154485940933228,1.4779839515686035,-104.37204886736855,4918.608021974564,32.45626360741932,28.653157949447632,174,-0.055940807,1750000,0.01931905746459961,-285.63181578180246,3.6866111755371094,-430.86659672895183,100
-234.38977139821677,20.991575717926025,-0.015230484,25.095805168151855,1.588838815689087,-115.57389608882104,4945.335313081741,26.874106560079902,26.705852270126343,175,-0.040251378,1760000,0.019696950912475586,-284.266357717031,3.6817142963409424,-432.7229304625626,100
-233.2358220508203,21.19840145111084,0.0092721665,25.353260040283203,1.569000244140625,-134.75076820182548,4972.301109790802,30.35145364684832,26.942134141921997,176,-0.017011188,1770000,0.01945805549621582,-288.42205084207825,3.6925578117370605,-430.0251011490233,100
-231.66974283664058,20.834194660186768,0.014927376,24.926160097122192,1.6178128719329834,-135.97096166860157,4998.893826007843,28.70277564453976,26.563867807388306,177,0.011242324,1780000,0.01950693130493164,-287.50878924869954,3.6467196941375732,-428.2232050357829,100
-235.40500328254362,22.91709303855896,-0.0042367433,27.089879989624023,1.6141810417175293,-157.84214470746463,5027.641782999039,30.35357987613227,28.72563886642456,178,-0.017756617,1790000,0.01993703842163086,-300.2285643915441,3.7429087162017822,-434.75065508128546,100
-230.55969908796018,20.875150680541992,-0.004142847,25.035244941711426,1.4493439197540283,-130.30704565232475,5054.1717410087585,31.512877341455134,26.506376028060913,179,-0.022431226,1800000,0.020433902740478516,-288.38586299955523,3.7322731018066406,-426.1637565756039,100
-227.7250974187672,21.0789315700531,0.0065639406,25.221142053604126,1.5906660556793213,-119.70854352817562,5081.026386022568,32.173419243061865,26.832569122314453,180,-0.0012309876,1810000,0.019305944442749023,-281.13833199760916,3.7198164463043213,-423.02229478314524,100
-229.18411976766362,25.066900968551636,0.003272705,29.532778024673462,3.4016919136047363,-132.99513861637485,5114.001796007156,28.137777344489578,32.952362060546875,181,-0.0070107756,1820000,0.017309188842773438,-273.6380543400407,4.02155613899231,-425.04672206630624,100
-230.4055814826097,23.961836338043213,0.008399423,28.123008966445923,1.5905122756958008,-104.66703203944424,5143.764123916626,31.91070619772736,29.735108137130737,182,-0.004352014,1830000,0.019749164581298828,-288.08611031103567,3.726318836212158,-427.5133569778798,100
-238.13350627855158,21.151376962661743,0.022733307,25.30046010017395,1.6089661121368408,-165.63567188612276,5170.724875926971,24.53219028367913,26.93981385231018,183,-0.01234302,1840000,0.026253223419189453,-293.20754907177593,3.718604803085327,-438.0220329286132,100
-233.27225766575486,22.494942903518677,0.002370009,26.729915857315063,2.0831429958343506,-147.22986859364616,5199.582476854324,27.727490610113822,28.835355043411255,184,-0.0089525785,1850000,0.01956796646118164,-283.2552815264439,3.7867672443389893,-430.3486006763775,100
-232.61862106622303,24.78528618812561,0.004668782,28.955720901489258,1.44523024559021,-144.786175225898,5230.023316144943,29.26870134396184,30.42268681526184,185,-0.025485862,1860000,0.019816875457763672,-294.39788655989094,3.74330735206604,-429.50007569484995,100
-232.39550105325372,20.95074486732483,0.013049331,25.03579330444336,1.5336129665374756,-118.64673560598236,5256.640857934952,34.220227461798586,26.595853090286255,186,-0.04653122,1870000,0.019684791564941406,-291.9183048193316,3.6507062911987305,-429.9546804128363,100
-234.07925546717286,21.740447759628296,-0.004691467,25.87703776359558,1.4340739250183105,-159.2575350936338,5283.994710922241,27.255392579604347,27.333272695541382,187,-0.03447682,1880000,0.020679950714111328,-280.1602554827573,3.7152087688446045,-429.61278609445617,100
-236.85714738089024,20.890225410461426,0.015910745,25.031015157699585,1.609989881515503,-113.64919809703497,5310.6796708106995,30.482371939661892,26.66293501853943,188,-0.026119094,1890000,0.020520925521850586,-296.83742790147727,3.7096285820007324,-438.5753535162401,100
-232.12756513656262,21.041149139404297,-0.008677423,25.16760516166687,1.620021104812622,-134.72092021439033,5337.5095319747925,29.78395063762633,26.809330224990845,189,-0.045529027,1900000,0.020174026489257812,-286.14653192158505,3.706981658935547,-429.5211583130038,100
-235.1053077330614,20.91113257408142,0.0023218843,24.98778009414673,1.5964951515197754,-148.74489445823352,5364.1426022052765,24.40800619397364,26.611462831497192,190,-0.017232766,1910000,0.02126479148864746,-286.75601435554546,3.659605026245117,-434.80760044921453,100
-234.70108336766287,20.99978280067444,-0.02350755,25.095713138580322,1.4549236297607422,-155.1095763394907,5390.744261026382,27.9461849054922,26.580041885375977,191,-0.039268874,1920000,0.027706146240234375,-289.1568413430735,3.672476291656494,-432.8671502809043,100
-233.04885932436449,20.87959575653076,0.00035905,25.0399169921875,1.6070270538330078,-126.90439055876872,5417.4327981472015,31.726017572522416,26.667119026184082,192,-0.031262953,1930000,0.01970815658569336,-288.15312498516363,3.7367372512817383,-431.7578997662498,100
-235.9490776339007,20.972849130630493,0.009266809,25.16958999633789,1.585493803024292,-158.89309083757053,5444.22962808609,28.93921093766021,26.776135206222534,193,0.0064632203,1940000,0.019524097442626953,-290.2022741037783,3.7382242679595947,-434.62937654497756,100
-232.06461181862176,20.803906202316284,0.013008481,24.888300895690918,1.5992238521575928,-141.27024253610833,5470.763210058212,27.795928539230967,26.50882911682129,194,0.0020730132,1950000,0.020831823348999023,-277.04545382024185,3.655653715133667,-429.4301594208148,100
-231.95422323300852,20.47542405128479,-0.026506409,24.587348222732544,1.5523288249969482,-128.76205203987658,5496.948229074478,29.62320773810527,26.163980960845947,195,-0.027678942,1960000,0.019544124603271484,-286.68138782735747,3.6607067584991455,-430.3487468145964,100
-235.66140370747186,21.580278396606445,-0.02805553,25.660401105880737,1.4534528255462646,-149.38603972189432,5524.223120927811,27.93727952522836,27.25149416923523,196,-0.059872694,1970000,0.1372218132019043,-285.16914607344535,3.659430980682373,-435.5304560239903,100
-228.50173296180137,20.770419359207153,-0.031939387,24.83997082710266,1.6651458740234375,-137.11112043060572,5550.770334005356,28.539906580675105,26.52608013153076,197,-0.13271292,1980000,0.019492149353027344,-279.3406310671787,3.6383025646209717,-424.1753913634776,100
-234.50766012579402,20.963125467300415,0.023852654,25.127824068069458,1.6651999950408936,-161.2542569634215,5577.605302810669,24.79239931373004,26.812696933746338,198,-0.052023247,1990000,0.018165111541748047,-284.5618865381418,3.7305519580841064,-433.48038969714923,100
-236.9517632904968,19.605606079101562,-0.012375263,23.71593403816223,2.2310078144073486,-122.33635425898349,5603.597157001495,30.310539575102286,25.96992588043213,199,-0.060529273,2000000,0.021468162536621094,-286.7791816027506,3.6895432472229004,-437.6961155517019,100
-226.17542667770283,20.320563077926636,0.011044184,24.47606921195984,1.636183738708496,-139.5885797602309,5629.750195026398,31.94445363791394,26.132904291152954,200,-0.029347934,2010000,0.01918506622314453,-285.2322329337538,3.724952459335327,-417.7265565273725,100
-232.60079133836115,20.695805311203003,0.016810693,24.776833057403564,1.4517152309417725,-152.21524820809864,5656.024260997772,27.448763835005618,26.25187397003174,201,0.018123597,2020000,0.02189183235168457,-284.7331848446786,3.6550257205963135,-429.5050508074294,100
-232.66496693067617,20.91008996963501,0.007496567,25.0841121673584,1.5977919101715088,-127.56637227573663,5682.750732898712,31.141825371155896,26.70311975479126,202,-0.004238321,2030000,0.01980900764465332,-295.0085629606351,3.7237133979797363,-431.0740391124302,100
-228.31143805254877,20.99027109146118,-0.016801815,25.096136331558228,1.6380562782287598,-135.69510000842556,5709.527147769928,31.082124152491396,26.75462794303894,203,-0.017598206,2040000,0.019941091537475586,-280.70937515673654,3.68033766746521,-422.94319621530934,100
-229.52008523886838,21.299818992614746,0.014359106,25.44437289237976,1.6479389667510986,-77.32913008229974,5736.664491891861,35.622415387097966,27.115479230880737,204,0.006701178,2050000,0.021050691604614258,-285.50139223255337,3.7178406715393066,-425.8281200630379,100
-233.308760883181,21.100703239440918,-0.021184998,25.2659273147583,1.6188859939575195,-86.40197280223336,5763.591327190399,31.04940429886426,26.90593695640564,205,-0.03983069,2060000,0.01967787742614746,-284.2774998915117,3.742049217224121,-430.108306361143,100
-232.7691877396735,20.778635025024414,0.012449945,24.912023067474365,1.4382760524749756,-110.83671021845277,5789.9886519908905,32.212751171057064,26.373864889144897,206,0.0017721985,2070000,0.02308821678161621,-295.51877424296447,3.712468147277832,-429.7496978624456,100
-232.62695612276926,23.726425409317017,0.019088507,27.89714288711548,1.6227970123291016,-144.4608486665662,5819.5532829761505,26.870647327617153,29.541119813919067,207,0.017583711,2080000,0.019632816314697266,-285.50787562169825,3.7076637744903564,-431.0524527907699,100
-229.28185170992066,20.62513518333435,-0.01128462,24.70633101463318,1.5616281032562256,-112.15928735803719,5845.871612071991,31.96118701360496,26.29622793197632,208,-0.018279724,2090000,0.027804851531982422,-286.79521411479277,3.658952236175537,-426.15228819343605,100
-227.81698467871286,20.88774871826172,-0.0047010253,25.052322149276733,1.6279199123382568,-79.42214606391742,5872.595155954361,34.22937169549458,26.701032876968384,209,-0.009870923,2100000,0.019314050674438477,-297.45925520967285,3.746187686920166,-422.9187678390721,100
-232.2594835980159,29.139956951141357,0.0052451156,34.290323972702026,1.7834599018096924,-126.19919390102213,5908.71967291832,32.178926781832686,36.102778911590576,210,-0.0070384894,2110000,0.026833057403564453,-290.44496680397106,4.6438140869140625,-429.09933758628523,100
-230.16540156115346,26.580966472625732,0.001722058,31.433229684829712,4.009547710418701,-117.50876989863413,5944.222228050232,31.36481036114497,35.472177028656006,211,-0.01621253,2120000,0.028398990631103516,-289.51511681505497,4.36532735824585,-427.0505040110903,100
-231.79689928298828,26.232360124588013,-0.008975241,31.15968680381775,1.831913948059082,-137.23528659447396,5977.2592170238495,30.91418627759809,33.01412081718445,212,-0.023538971,2130000,0.019975900650024414,-285.9873417824599,4.426856279373169,-430.6565359149967,100
-233.35704797760783,25.785858631134033,-0.008667327,30.68303608894348,2.1773581504821777,-123.78346754682654,6010.166968822479,28.207781855643965,32.884921073913574,213,-0.032317158,2140000,0.021255970001220703,-285.9052659012832,4.397429466247559,-431.0108840480609,100
-236.96957978560596,24.418141841888428,0.015858728,29.0533230304718,1.864189863204956,-150.46281613496797,6041.135005950928,28.30399049765619,30.941851139068604,214,-0.033117596,2150000,0.02287602424621582,-295.41103790935375,4.1549601554870605,-436.44003803177156,100
-229.96150398850193,23.175110340118408,-0.011547323,27.67452383041382,1.8353462219238281,-148.27249529234584,6070.689348936081,27.46925031497125,29.53166890144348,215,-0.108640164,2160000,0.019943952560424805,-282.73860477311763,4.019522190093994,-425.34691218685555,100
-230.42185546498516,24.291492462158203,-0.013043811,28.917314767837524,1.6189038753509521,-159.49336546478565,6101.282359838486,26.14383131822251,30.57052707672119,216,-0.24348028,2170000,0.03230094909667969,-270.18497816934564,4.153257608413696,-427.27155906088285,100
-234.47909059312505,31.1025812625885,-0.02893652,36.4823579788208,1.758389949798584,-102.67158736391494,6139.575432062149,30.710768680535786,38.26565217971802,217,-0.029802948,2180000,0.023119211196899414,-300.8684003211054,4.845912218093872,-432.6624847353874,100
