LossAfter,train-NumTrajs,n_timesteps,train-MinReturn,train-PolicyExecTime,train-AverageDiscountedReturn,Time,Time-Optimization,Time-Sampling,train-AverageReturn,ItrTime,Itr,LossBefore,train-EnvExecTime,train-MaxReturn,Time-SampleProc,train-StdReturn
-0.037701596,100,620000,-6.488064117332865,41.329142570495605,74.50980322350297,3718.0570192337036,1.9467642307281494,45.5335910320282,33.619209003340295,47.5008008480072,61,-0.016928155,3.776914358139038,51.85631761914086,0.01904010772705078,15.652998099335369
-0.01931488,100,630000,-49.20024062812846,40.83822226524353,75.37556329198617,3765.1281232833862,1.9806797504425049,45.04879426956177,34.30914759752175,47.04972219467163,62,-0.010213355,3.7812726497650146,55.54317952694589,0.019488096237182617,17.207902984474046
-0.009420483,100,640000,-8.018171418913171,40.79885387420654,75.79294046164854,3812.06737613678,1.8888249397277832,45.006897926330566,34.433533594951875,46.91699504852295,63,0.010524384,3.775601387023926,54.85263377211932,0.01987004280090332,15.222775713291375
-0.0205771,100,650000,-16.56961829372971,42.387465476989746,73.8708832707704,3860.628424167633,1.8863160610198975,46.63197088241577,33.6063139942249,48.5398690700531,64,0.007688049,3.805894613265991,56.844916189297415,0.01993393898010254,17.21300037108642
-0.039342236,100,660000,-31.836730689442238,50.72173595428467,71.43941259203639,3919.222604036331,3.4402220249176025,55.08525490760803,32.82929512033987,58.57027196884155,65,-0.009660644,3.920888662338257,60.79497935231185,0.043701887130737305,18.291516804217007
-0.028614905,100,670000,-29.849838643724198,49.36788558959961,73.32345280288439,3975.0911769866943,1.9167790412902832,53.87925696372986,33.52839564182238,55.82059097290039,66,-0.01068523,4.051350355148315,56.54499074559477,0.024023056030273438,17.551057806447403
-0.029933758,100,680000,-29.819711345127992,41.42887878417969,70.59651291184775,4022.8945043087006,2.0343358516693115,45.728139877319336,31.431533023993357,47.78257989883423,67,0.0027351098,3.8326385021209717,51.942989698208166,0.0197601318359375,17.569944466280408
-0.018050477,100,690000,-27.183253657538554,41.98897624015808,71.28574406270693,4071.16881108284,1.9967012405395508,46.233721017837524,31.361298434757487,48.25296998023987,68,0.0020939696,3.7991833686828613,52.14316793839847,0.021905183792114258,18.55032538495612
-0.049058497,100,700000,-51.76706469699694,41.587252140045166,73.15673447920162,4119.02950501442,1.9868543148040771,45.83202886581421,33.17742844827258,47.839613914489746,69,-0.03049563,3.811519145965576,59.645193063302855,0.020364046096801758,20.05126736262826
-0.04562696,100,710000,-18.735803091359216,42.39167332649231,71.35366040463114,4167.728670120239,2.039759874343872,46.617595911026,32.00507729942819,48.67783880233765,70,-0.024466187,3.792850971221924,57.83404581906968,0.02013421058654785,17.770198664061212
