train-PolicyExecTime,train-EnvExecTime,Itr,train-MaxReturn,Time-Optimization,Time-SampleProc,train-StdReturn,Time-Sampling,ItrTime,LossBefore,n_timesteps,train-AverageDiscountedReturn,Time,LossAfter,train-MinReturn,train-NumTrajs,train-AverageReturn
4.87807035446167,2.6823511123657227,139,196.31849094662522,0.22859930992126465,0.04859018325805664,42.71145542215981,7.814440727233887,8.091871976852417,9.155274e-09,1400000,168.2957979545601,1118.8072600364685,-0.037233677,-14.947889125035738,100,84.66169146116192
4.857293128967285,2.6344010829925537,140,161.6349588686668,0.2223365306854248,0.045806884765625,46.99103217160781,7.754623174667358,8.022989511489868,-2.4414062e-08,1410000,148.12604766901734,1126.8437843322754,-0.038625672,-75.27507116308028,100,72.90031075730619
4.877874374389648,2.6353540420532227,141,171.24166576347733,0.22142887115478516,0.04739022254943848,39.77443391489355,7.766212224960327,8.035316228866577,-1.2207031e-08,1420000,160.9899993423506,1134.8926048278809,-0.023237541,-29.564529877293623,100,80.04518583516202
4.8558573722839355,2.637092113494873,142,192.06848683108828,0.200667142868042,0.08125615119934082,41.52912213444887,7.745440244674683,8.027612686157227,-2.4414062e-08,1430000,166.2859011681131,1142.9338495731354,-0.057981886,1.0826004850765278,100,83.53150029873042
4.901324272155762,2.6630287170410156,143,241.28222210886926,0.21718311309814453,0.0424962043762207,44.40435306037209,7.816936016082764,8.076851844787598,-2.746582e-08,1440000,172.05207013486574,1151.0255274772644,-0.023514532,-38.87287443747418,100,86.83007574857491
4.865449905395508,2.6316072940826416,144,206.41206448877594,0.22118544578552246,0.04290771484375,44.93721579718748,7.747766017913818,8.012075662612915,1.525879e-08,1450000,157.35343003623268,1159.051645040512,-0.016729282,-31.93360981010522,100,80.56046080328375
4.839986324310303,2.619377851486206,145,186.0020912189905,0.22202134132385254,0.04309582710266113,46.516436793373465,7.712161302566528,7.9775168895721436,-1.2207031e-08,1460000,178.74689290858126,1167.0436935424805,-0.019379279,-48.38451088091543,100,90.21146234488586
4.87930154800415,2.6513965129852295,146,192.16915729847037,0.22070670127868652,0.04288506507873535,42.41637557533529,7.780996084213257,8.044835329055786,1.4400483e-08,1470000,182.60094160644363,1175.1023597717285,-0.022084739,-9.441893528704476,100,93.041313269946
4.829737663269043,2.6433703899383545,147,204.7372301124911,0.20244574546813965,0.08187747001647949,36.475132052183135,7.727666854858398,8.012234210968018,2.670288e-09,1480000,188.78106288047002,1183.1289823055267,-0.022027794,-10.93429259943995,100,96.79234378853033
4.904959440231323,2.6642253398895264,148,173.17004101697617,0.2176065444946289,0.04523277282714844,39.10130652325594,7.824697732925415,8.087766408920288,1.2207031e-08,1490000,185.0690069272092,1191.2320058345795,-0.02181372,-14.80816048785081,100,92.80395172829313
4.859130144119263,2.6362195014953613,149,186.6037351135071,0.1940908432006836,0.08245134353637695,40.95647303802386,7.748762845993042,8.025573492050171,1.8310548e-08,1500000,166.3066034083746,1199.2720515727997,-0.018903747,-0.37221908052821684,100,83.6565756402779
4.8710267543792725,2.6303465366363525,150,210.4518806222884,0.21830391883850098,0.0469670295715332,43.500614173270755,7.752256870269775,8.017764806747437,-4.577637e-09,1510000,166.09322986722682,1207.3035972118378,-0.022342118,-44.1698272717847,100,83.02767360365806
4.838640213012695,2.626544237136841,151,186.06216180881088,0.2083728313446045,0.0886390209197998,46.081592054464444,7.719364881515503,8.016597032546997,6.1035155e-09,1520000,149.23821475723722,1215.3348166942596,-0.027482871,-79.01680567599392,100,75.90542192986678
