train-AverageReturn,LossAfter,train-NumTrajs,Time-Sampling,Itr,LossBefore,Time-Optimization,ItrTime,train-AverageDiscountedReturn,n_timesteps,train-PolicyExecTime,Time,train-MinReturn,train-MaxReturn,Time-SampleProc,train-EnvExecTime,train-StdReturn
-61.6758779837655,-0.033479273,100,57.51609015464783,158,-0.01678654,2.3573660850524902,59.89498281478882,-105.66263779264116,1590000,52.49769449234009,11838.083273887634,-65.10373984520635,-59.79895334946131,0.020676136016845703,4.5308263301849365,1.0148632295958007
-61.76568406878445,-0.014781381,100,61.42271900177002,159,-0.010910823,2.216219902038574,63.662869930267334,-105.75426472274393,1600000,56.10751390457153,11901.769264221191,-64.65182702067614,-59.91156283125105,0.023487091064453125,4.81370210647583,0.9624079663358522
-61.91063218161421,-0.015049907,100,60.26358103752136,160,-0.0035501854,2.2782070636749268,62.564918994903564,-105.90953173818625,1610000,55.14716124534607,11964.35556602478,-67.60378737833148,-59.281382151370096,0.0223538875579834,4.622497081756592,1.2254782242029791
-61.948460546873356,-0.023735514,100,57.87098407745361,161,-0.00019815826,2.3338799476623535,60.2273051738739,-105.94477039142366,1620000,52.83276987075806,12024.604527235031,-65.50205346291139,-59.34770508958825,0.02194809913635254,4.543996810913086,1.040948317008787
-61.97235053198671,-0.0041120085,100,56.53539824485779,162,-0.0027344238,2.1674811840057373,58.726901054382324,-105.9667087030569,1630000,51.500123262405396,12083.353111028671,-65.04579863270179,-60.510863631531286,0.020568132400512695,4.546422719955444,0.9757308332876632
-61.80142176387727,-0.042400654,100,58.33894395828247,163,-0.013604119,2.2535176277160645,60.61352515220642,-105.79005044161222,1640000,53.285385847091675,12143.989603996277,-63.91919287562145,-59.73388743150613,0.02030181884765625,4.554449081420898,0.7670064715845306
-61.82006463610696,0.030402794,100,56.9149329662323,164,0.03714205,2.080286979675293,59.01646614074707,-105.81332157001076,1650000,51.63073182106018,12203.02816414833,-65.31165430757285,-59.23384952302094,0.019703149795532227,4.768335342407227,1.0200559912081097
-61.851435586390934,-0.006067908,100,41.995940923690796,165,-0.0047088354,2.439116954803467,44.45254707336426,-105.84453229359268,1660000,37.00782537460327,12247.504450082779,-65.03342045990127,-59.91694799503398,0.015616893768310547,4.512277603149414,1.0456268376923163
-61.733835361881276,-0.002075197,100,39.42665481567383,166,0.0047731725,2.1743929386138916,41.62472486495972,-105.72243533441024,1670000,34.64011836051941,12289.153162956238,-64.19425128435626,-59.28650016275657,0.02308201789855957,4.320617437362671,0.9143577741071262
-61.86694189833881,-0.048593145,100,40.4987587928772,167,-0.031722978,2.042357921600342,42.56279492378235,-105.86134321243092,1680000,35.611812353134155,12331.738864183426,-65.92851349340147,-59.72803960595369,0.01990795135498047,4.392282962799072,0.9644081918447154
-61.83629187735472,-0.038199063,100,32.28902721405029,168,-0.014662984,1.8556299209594727,34.16647982597351,-105.82846452804154,1690000,27.539858102798462,12365.928506851196,-65.17176447235514,-59.53440692361812,0.020074844360351562,4.291247129440308,0.9711495894971075
-61.90133100593042,-0.020344455,100,26.400742053985596,169,-0.0047722007,1.8709349632263184,28.293719053268433,-105.89460219726563,1700000,21.847613096237183,12394.245130062103,-65.60861841312989,-59.85336055344863,0.02143692970275879,4.093353748321533,1.0444069563042293
-62.02594747615603,-0.025175722,100,26.440181970596313,170,-0.029261276,1.6695289611816406,28.13003420829773,-106.02641995746521,1710000,21.880281448364258,12422.397507190704,-65.14882854494124,-60.27285654732973,0.01990199089050293,4.111539602279663,0.9596475729109992
-61.84920347046585,-0.008043947,100,27.212602138519287,171,-0.00057154696,1.814079999923706,29.04653286933899,-105.84099287805533,1720000,22.66389298439026,12451.465798854828,-64.946236778969,-59.966957635393335,0.01940178871154785,4.0993492603302,0.9864019448564513
-61.93354162179922,0.017186554,100,26.56535005569458,172,0.02092731,1.7935590744018555,28.380173921585083,-105.93216585025706,1730000,21.989935398101807,12479.86724805832,-64.81623760365026,-59.706871640964955,0.0208280086517334,4.129777193069458,0.9891583263969831
