n_timesteps,Time,train-AverageDiscountedReturn,train-MaxReturn,LossBefore,Time-Sampling,train-StdReturn,ItrTime,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,Time-Optimization,train-EnvExecTime
690000,16267.440444946289,309.1565087162702,179.56736130436886,0.021349983,189.22910690307617,1.845909291491868,192.81737995147705,0.024473905563354492,-0.27327117,68,169.46082393692558,175.4430733166567,100,184.15392756462097,3.5613348484039307,4.628380298614502
700000,16447.588693857193,307.44807606675414,178.86603709037496,0.0015904754,176.42465996742249,1.9473847506092377,180.09525513648987,0.027455806732177734,-0.17683104,69,170.32509143011322,174.7996345738451,100,171.22117161750793,3.6417338848114014,4.799053192138672
710000,16616.88166999817,307.59058613021,177.92875709705046,0.0047385753,166.26151871681213,1.5438565656080132,169.27025413513184,0.021517038345336914,-0.0992608,70,169.86389724357036,174.81689334536145,100,161.19187593460083,2.986863136291504,4.667569160461426
720000,16794.527998924255,306.9172118013872,178.2605266636195,-0.0006996643,174.4725160598755,1.8599988737365705,177.62477803230286,0.056355953216552734,-0.07126731,71,168.47068538051488,174.5627842997016,100,169.56421089172363,3.0928328037261963,4.49885106086731
730000,16974.566782951355,305.13727369807145,179.21196606865536,0.0055793845,176.50518608093262,2.0027253659442343,180.0180139541626,0.024147987365722656,-0.044074938,72,167.46394309800303,173.86796269915803,100,171.54264187812805,3.4868249893188477,4.5572075843811035
740000,17151.38570213318,305.9871121867009,177.8195931838618,0.0016708203,172.94064807891846,1.8608578082886915,176.79843258857727,0.02188396453857422,-0.029819733,73,168.97675534241043,174.16495327847147,100,168.01460123062134,3.8343849182128906,4.524568557739258
750000,17329.59930896759,305.00731672228693,179.38687250361997,0.01581571,175.16229820251465,1.9827287739781991,178.19093894958496,0.022058963775634766,-0.00026409607,74,168.7372920705005,173.7830198954729,100,170.30610299110413,3.0060060024261475,4.445108890533447
760000,17508.680900096893,304.615401256978,177.78554534183286,0.005912985,174.23263907432556,1.8584785643954067,179.042072057724,0.019976139068603516,-0.008509277,75,169.6795849577935,173.6432868300307,100,169.33226537704468,4.705981969833374,4.483065605163574
770000,17690.458264112473,304.38144000755864,178.531285398032,-0.017897785,177.93097925186157,2.065917102048174,181.75858998298645,0.019578933715820312,-0.024954615,76,169.08516962391553,173.5347443520406,100,173.00520944595337,3.805996894836426,4.5111918449401855
780000,17866.54635477066,305.1665340591399,178.88749216112652,0.015780872,172.2759838104248,2.0209402541284027,176.06838202476501,0.13551783561706543,0.011831472,77,169.27044681129715,173.81732722087366,100,167.38431787490845,3.6562929153442383,4.478352308273315
