Itr,train-EnvExecTime,train-PolicyExecTime,Time,train-NumTrajs,Time-Sampling,train-AverageReturn,train-MinReturn,ItrTime,LossAfter,n_timesteps,Time-Optimization,LossBefore,train-StdReturn,Time-SampleProc,train-AverageDiscountedReturn,train-MaxReturn
94,4.556467294692993,183.07768750190735,17635.58475804329,100,188.04049706459045,156.09099383557722,148.1359648195472,191.3548719882965,-1.1671145,950000,3.1956660747528076,-0.019511297,3.7122181332801336,0.0521700382232666,263.4000469812555,168.7729283530231
95,4.597091197967529,175.0420970916748,17818.983381986618,100,180.04021406173706,155.21433152458803,145.76588208272616,183.37652707099915,-1.2081518,960000,3.2176270484924316,-0.0076849693,4.358159983874136,0.04799699783325195,261.69727244303283,167.55268404151545
96,4.50780463218689,174.87736177444458,18002.35149383545,100,179.7902591228485,155.9169670542186,146.59996014707366,183.34581685066223,-1.1875873,970000,3.530742883682251,0.0021924835,4.145802995291046,0.02191901206970215,263.3776677633052,166.47066503786317
97,4.632930755615234,173.9426145553589,18184.79361987114,100,179.00660610198975,155.26570049104376,145.81483849441688,182.41898202896118,-1.1498154,980000,3.2554869651794434,0.0327888,4.010316559162277,0.15311622619628906,262.06239280947494,166.9290890435312
98,4.4789323806762695,160.52989029884338,18353.476324796677,100,165.40235495567322,155.18514815652682,146.91880714294444,168.58889389038086,-1.2080669,990000,3.1646032333374023,0.01481731,3.723370708160782,0.021543025970458984,262.1221673367392,171.08200652540907
99,4.472553253173828,158.69088125228882,18520.153861045837,100,163.55659174919128,155.40753463051624,147.77439774416143,166.65629959106445,-1.2646115,1000000,3.0510568618774414,-0.001674675,3.4604540222645195,0.04832625389099121,262.471309271426,169.63049829170404
100,4.449457883834839,164.3849754333496,18692.65374994278,100,169.24725794792175,155.04932102800328,148.01515748190678,172.4777410030365,-1.3344702,1010000,3.209599018096924,0.01644142,3.2160337664677408,0.020508766174316406,261.8944798403385,162.82940943691344
101,4.4084837436676025,159.01653003692627,18859.621475934982,100,163.82403993606567,154.7465581616057,148.12902346543478,166.94806790351868,-1.4808059,1020000,3.1026079654693604,-0.008272995,3.0877983844781824,0.020878076553344727,261.21525071048404,163.12343802356003
102,4.46289587020874,160.10241723060608,19027.308104991913,100,164.96124291419983,154.9444285591359,147.88850438761546,167.66438388824463,-1.5039538,1030000,2.681842803955078,0.0015399872,3.0778329500325183,0.01927495002746582,261.7617592220565,164.65403942509167
103,4.461630821228027,151.49089908599854,19186.32785511017,100,156.3502299785614,155.30445372289856,147.00783382456297,158.99752402305603,-1.6026512,1040000,2.6230170726776123,-0.0053289933,3.4634339620309773,0.022978782653808594,262.6341635658581,164.83877394326962
104,4.476963520050049,148.0860414505005,19342.6921479702,100,152.9994239807129,155.16154287120202,145.66471039756956,156.3415219783783,-1.7201,1050000,3.3193390369415283,-0.014601265,3.8992243326440033,0.021332979202270508,262.2940756780564,167.00062854615396
105,4.570664167404175,154.48109340667725,19505.48147702217,100,159.44984006881714,154.87055867660786,148.04350130671358,162.7621967792511,-1.7821696,1060000,3.2890398502349854,0.009048653,2.9972370367665797,0.019579172134399414,261.3621171696082,163.46926627868163
106,4.432333946228027,153.24624943733215,19666.83024787903,100,158.08437395095825,154.23137369162097,145.16626988923102,161.32438826560974,-1.9420029,1070000,3.218358039855957,-0.002050737,3.714782813772359,0.019640207290649414,259.98771831669444,164.02804871522028
107,4.431974411010742,146.20910620689392,19821.346158981323,100,151.0401418209076,155.0041900417759,147.96938783241836,154.49285888671875,-1.4649726,1080000,3.422428846359253,0.008647322,3.5534694177906805,0.028464078903198242,261.850350338373,163.7199195322642
108,4.427331924438477,142.7456192970276,19973.06148505211,100,147.57807612419128,156.46725851335387,148.70471017029897,151.6951310634613,-0.25589186,1090000,4.09542989730835,-0.01908297,4.559565405420829,0.0201568603515625,264.84815318162623,171.21436616095727
109,4.403591871261597,139.67237997055054,20120.66085100174,100,144.48626279830933,153.5696738338379,145.87834920050034,147.5785050392151,-1.7139027,1100000,3.070525884628296,-0.001366182,3.4733489327072538,0.0203399658203125,258.63255392987986,163.70933806982748
110,4.38094425201416,143.69386196136475,20271.959177017212,100,148.48067784309387,152.91696204103647,145.6061413304175,151.27819108963013,-1.6363231,1110000,2.774030923843384,-0.017195825,3.4859056055574262,0.0221712589263916,257.29115304026794,159.65260032476817
111,4.4603235721588135,142.26102781295776,20422.468914985657,100,147.116760969162,153.78233631835357,146.3269011226086,150.48898315429688,-1.87933,1120000,3.349107027053833,0.011278351,3.2478094752927658,0.021600961685180664,259.230486190442,162.81639183358098
112,4.44886589050293,140.70604610443115,20573.324345111847,100,145.55690622329712,153.8622234386088,144.71671770273693,150.83125925064087,-1.9421299,1130000,5.254541873931885,-0.0039175856,3.42052701509312,0.019207000732421875,259.50787619331714,162.95569818457452
113,4.613220930099487,147.58480739593506,20728.79211497307,100,152.6213219165802,153.63785824016455,143.5843315485021,155.4431939125061,-1.9446119,1140000,2.802380084991455,-0.015788376,3.1195275154253213,0.018481016159057617,258.888003594763,162.2903278703727
