n_timesteps,train-AverageReturn,train-AverageDiscountedReturn,train-MaxReturn,Itr,Time-Sampling,train-NumTrajs,train-PolicyExecTime,Time-SampleProc,train-StdReturn,LossAfter,train-EnvExecTime,Time-Optimization,train-MinReturn,Time,ItrTime,LossBefore
1430000,-39.39099755616362,-77.86119889640894,77.47440877529789,142,28.491482257843018,100,24.123741149902344,0.11774802207946777,46.74615131382289,-0.03918723,3.9216525554656982,2.2016329765319824,-152.1848104142422,4780.515508890152,30.814502000808716,-1.0681152e-08
1440000,-38.12366483969829,-74.03841183026547,64.21993985791055,143,25.270873069763184,100,21.350542545318604,0.07150602340698242,49.420710590863926,-0.043318573,3.513808488845825,3.8914878368377686,-184.83729318679192,4809.776376008987,29.23440718650818,-1.1444092e-08
1450000,-21.082962969803607,-44.24332636905476,103.62953943630734,144,39.31906604766846,100,33.89751219749451,0.11849188804626465,46.16177726141811,-0.057836242,4.892606973648071,3.200282096862793,-125.07045431499643,4852.474401950836,42.639622926712036,-2.4414062e-08
1460000,-18.723765933323513,-38.39407070080333,99.44019722673882,145,41.52810597419739,100,35.72485899925232,0.13017606735229492,51.47095098405827,-0.046247896,5.230792999267578,3.9395508766174316,-171.82949717633898,4898.1041140556335,45.60729765892029,4.9591065e-09
1470000,-30.63317605319414,-58.252483944953276,108.8326416412633,146,47.75071907043457,100,40.48464560508728,0.05126595497131348,54.10001173841452,-0.14988096,6.568969249725342,3.2315621376037598,-143.82584410980888,4949.193608045578,51.03430485725403,6.1035155e-09
1480000,-36.510523528902574,-71.70748583248059,94.33101370225927,147,61.457486152648926,100,52.69006371498108,0.2663848400115967,48.883942832110634,-0.039386533,7.925805330276489,5.531949043273926,-148.01408986072116,5016.501917123795,67.25782775878906,-6.103516e-08
1490000,-20.809398974964985,-41.29254573753842,177.08812073873023,148,96.43575811386108,100,87.00644588470459,0.15649986267089844,62.86331764738189,-0.026408225,8.50344204902649,3.9606258869171143,-189.11613613118416,5117.12091422081,100.55460000038147,2.746582e-08
1500000,-32.95175722166284,-70.12328242814533,110.80020846918639,149,57.376912117004395,100,48.750732421875,0.11440277099609375,52.88952375174403,-0.08014289,7.793673753738403,3.744053840637207,-147.84606113872545,5178.441206932068,61.23628115653992,7.019043e-08
1510000,-33.29995275952724,-68.46053616765403,145.78905112613467,150,62.818915128707886,100,53.932690143585205,0.10919189453125,61.94933788623388,-0.039890513,8.02846074104309,3.862184762954712,-180.9233984398029,5245.294126987457,66.79113602638245,-6.103516e-08
1520000,-38.475502023177754,-76.80355995702895,102.75336362553826,151,66.47550201416016,100,57.53740215301514,0.1251239776611328,57.70677041158618,-0.051420465,8.076334953308105,4.0938498973846436,-174.38868896921483,5316.043965101242,70.69633388519287,1.8310548e-08
1530000,-31.319396581878287,-63.813288590871714,182.70911782274592,152,86.9922297000885,100,79.5729751586914,0.08257102966308594,67.85008573737471,-0.06482404,6.680298805236816,2.2639598846435547,-140.94232486578466,5405.434919118881,89.34052610397339,6.1035155e-09
1540000,-38.0023720820022,-80.19440508178943,117.53534299100238,153,38.03959798812866,100,33.54642128944397,0.11086797714233398,70.11568878804273,-0.07226028,4.030679702758789,2.489745855331421,-188.2601069169566,5446.10382604599,40.64113521575928,-9.155274e-09
1550000,-32.49809114016095,-74.58691097870354,116.18435476315749,154,48.35798096656799,100,43.45964336395264,0.08594202995300293,72.11012658464612,-0.033358756,4.38199782371521,2.204918622970581,-218.96881515385903,5496.782603979111,50.650475025177,1.8310548e-08
1560000,-28.486612794572576,-63.830278521303434,98.54618518734046,155,35.14807915687561,100,30.586036443710327,0.06642007827758789,65.24410000029208,-0.06511818,4.104033946990967,2.2144429683685303,-187.3016407407759,5534.236528158188,37.43060111999512,9.155274e-09
1570000,-28.69450693081933,-64.04526846725051,111.68772507225233,156,36.77816128730774,100,31.98773431777954,0.23369503021240234,63.081012027204515,-0.03488506,4.294910430908203,2.113241672515869,-198.34857652605865,5573.383821964264,39.125916957855225,-0.0012225708
1580000,-28.754897142252652,-67.6079854169487,151.04294876552035,157,42.693962812423706,100,37.90392088890076,0.05843400955200195,75.67485464719446,-0.03758003,4.282062292098999,2.1431963443756104,-208.9942898932649,5618.301884174347,44.89622116088867,3.2043456e-08
1590000,-30.086604753879982,-68.31314677584875,135.84699978673194,158,40.53843688964844,100,35.72779417037964,0.055310964584350586,70.73018225179304,-0.107002236,4.3085105419158936,2.180387258529663,-220.9476884882043,5661.101540088654,42.77585506439209,2.5939942e-08
1600000,-39.363274786705716,-82.8360050781322,138.94914565128852,159,36.47928810119629,100,31.969019412994385,0.07483506202697754,58.19618185456128,-0.047568664,4.040590047836304,2.0827319622039795,-145.69783265576146,5699.759379863739,38.638206005096436,1.373291e-08
1610000,-19.646897528765706,-50.47969803475251,149.46155024411217,160,35.91997003555298,100,31.286311626434326,0.08016586303710938,66.38062098862913,-0.041204266,4.163468599319458,1.8392269611358643,-160.52950894155552,5737.622731924057,37.84084606170654,1.525879e-08
1620000,-25.984025438433015,-63.0561465475966,157.62979939334676,161,33.421518087387085,100,28.91869068145752,0.05155587196350098,75.56028933143288,-0.029231442,4.016143321990967,2.042057991027832,-223.55008061856478,5773.1625020504,35.51690125465393,-1.8310548e-08
